"연도","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
2012,"강정호","넥센",124,519,436,137,25,77,82,71,78,21,0.331,0.314,0.413,0.56,0.973,0.432,7.25
2012,"박석민","삼성",127,549,443,138,23,79,91,72,83,2,0.336,0.312,0.433,0.524,0.957,0.434,7.15
2012,"김태균","한화",126,513,416,151,16,61,80,81,69,3,0.402,0.363,0.474,0.536,1.01,0.457,6.51
2012,"최정","SK",130,553,474,142,26,85,84,49,98,20,0.326,0.3,0.385,0.538,0.923,0.41,6.22
2012,"박병호","넥센",133,560,469,136,31,76,105,73,111,20,0.314,0.29,0.393,0.561,0.954,0.424,5.48
2012,"정성훈","LG",107,438,365,113,12,50,53,65,62,3,0.341,0.31,0.411,0.499,0.91,0.413,4.73
2012,"이승엽","삼성",126,556,488,150,21,84,85,59,101,6,0.349,0.307,0.384,0.502,0.886,0.399,4.34
2012,"강민호","롯데",119,454,400,109,19,41,66,44,97,0,0.315,0.273,0.355,0.468,0.823,0.374,4.32
2012,"이호준","SK",127,504,426,128,18,55,78,72,90,3,0.345,0.3,0.407,0.488,0.895,0.408,3.88
2012,"박용택","LG",127,556,499,152,11,82,76,42,66,30,0.329,0.305,0.362,0.451,0.813,0.369,3.74
2012,"김원섭","KIA",120,472,386,117,3,60,61,69,54,8,0.343,0.303,0.409,0.402,0.811,0.382,3.39
2012,"이용규","KIA",125,580,491,139,2,86,37,66,38,43,0.302,0.283,0.377,0.332,0.709,0.342,3.37
2012,"김선빈","KIA",126,532,441,124,5,63,55,58,48,30,0.302,0.281,0.363,0.367,0.73,0.344,3.37
2012,"양의지","두산",122,416,359,100,5,39,27,37,51,1,0.313,0.279,0.361,0.387,0.748,0.348,3.11
2012,"최진행*","한화",120,471,395,98,17,59,55,66,109,6,0.297,0.248,0.361,0.443,0.804,0.369,2.79
2012,"진갑용*","삼성",114,349,313,96,6,27,57,17,46,0,0.342,0.307,0.354,0.419,0.773,0.353,2.76
2012,"안치홍","KIA",132,558,489,141,3,60,65,42,74,20,0.329,0.288,0.347,0.378,0.725,0.332,2.75
2012,"오지환","LG",133,540,462,115,12,66,53,55,122,23,0.307,0.249,0.331,0.383,0.714,0.33,2.6
2012,"손아섭","롯데",132,556,503,158,5,61,58,41,79,10,0.362,0.314,0.37,0.396,0.766,0.352,2.48
2012,"박한이","삼성",111,463,388,118,1,61,51,58,71,4,0.367,0.304,0.393,0.381,0.774,0.364,2.46
2012,"김상수","삼성",129,489,419,115,2,64,36,41,56,25,0.308,0.274,0.345,0.351,0.696,0.325,2.37
2012,"이병규(7)","LG",69,270,223,71,2,23,21,43,54,8,0.413,0.318,0.435,0.422,0.857,0.405,2.34
2012,"조동찬","삼성",94,313,270,77,6,40,39,28,68,12,0.359,0.285,0.363,0.422,0.785,0.362,2.33
2012,"이대수","한화",118,425,376,105,4,36,48,27,57,5,0.316,0.279,0.328,0.394,0.722,0.33,2.28
2012,"서건창","넥센",127,501,433,115,1,70,40,45,43,39,0.291,0.266,0.342,0.353,0.695,0.327,2.19
2012,"나지완","KIA",124,480,398,109,11,40,56,56,93,7,0.328,0.274,0.377,0.405,0.782,0.363,2.11
2012,"홍성흔","롯데",113,443,390,114,15,48,74,47,83,4,0.336,0.292,0.369,0.459,0.828,0.377,2.09
