"","1","2","3","4","5","6","7","8","9","10","11"
"1","NYA","NYN","ATL","","","","","","","",""
"2","HOU","HOU","WAS","OAK","OAK","MIN","BOS","","","",""
"3","LAA","LAA","LAN","NYN","","","","","","",""
"4","CHA","CHA","CHA","","","","","","","",""
"5","HOU","","","","","","","","","",""
"6","KCA","SFN","SFN","","","","","","","",""
"7","BAL","CLE","OAK","","","","","","","",""
"8","BOS","BOS","BOS","NYA","","","","","","",""
"9","MIN","MIN","LAA","","","","","","","",""
"10","SEA","SEA","SEA","SEA","SEA","NYA","NYA","","","",""
"11","NYN","NYN","","","","","","","","",""
"12","COL","COL","COL","","","","","","","",""
"13","CLE","CLE","CLE","","","","","","","",""
"14","NYA","","","","","","","","","",""
"15","KCA","","","","","","","","","",""
"16","SLN","SLN","SLN","SLN","SLN","","","","","",""
"17","SDN","TEX","TEX","PHI","PHI","","","","","",""
"18","BAL","","","","","","","","","",""
"19","KCA","KCA","TEX","CIN","","","","","","",""
"20","TEX","TEX","","","","","","","","",""
"21","CIN","","","","","","","","","",""
"22","SFN","SFN","SFN","SFN","","","","","","",""
"23","SFN","SFN","SFN","SFN","SFN","","","","","",""
"24","CLE","CLE","CLE","","","","","","","",""
"25","ARI","ARI","ARI","","","","","","","",""
"26","ARI","","","","","","","","","",""
"27","MIN","TOR","MIN","","","","","","","",""
"28","TEX","TEX","","","","","","","","",""
"29","BOS","BOS","ARI","CLE","HOU","CHA","CHA","","","",""
"30","DET","DET","DET","DET","DET","LAA","","","","",""
"31","CHN","CHN","OAK","","","","","","","",""
"32","OAK","","","","","","","","","",""
"33","KCA","KCA","","","","","","","","",""
"34","PHI","","","","","","","","","",""
"35","COL","","","","","","","","","",""
"36","ARI","OAK","OAK","TBA","","","","","","",""
"37","CLE","CLE","CLE","CLE","CLE","","","","","",""
"38","SEA","SEA","SDN","SDN","CLE","CLE","","","","",""
"39","MIL","","","","","","","","","",""
"40","KCA","","","","","","","","","",""
"41","NYA","NYA","","","","","","","","",""
"42","CHN","","","","","","","","","",""
"43","CIN","SDN","SDN","SDN","SDN","OAK","","","","",""
"44","SEA","","","","","","","","","",""
"45","PHI","PHI","PHI","","","","","","","",""
"46","HOU","HOU","HOU","HOU","HOU","HOU","","","","",""
"47","NYN","NYN","ATL","TEX","","","","","","",""
"48","BAL","BAL","","","","","","","","",""
"49","TOR","TOR","MIA","MIA","MIA","","","","","",""
"50","DET","LAA","LAA","LAA","","","","","","",""
"51","PIT","PIT","PIT","PIT","PIT","BAL","","","","",""
"52","SDN","OAK","","","","","","","","",""
"53","LAA","LAA","SDN","SDN","SDN","SDN","SDN","","","",""
"54","HOU","HOU","SDN","","","","","","","",""
"55","MIA","","","","","","","","","",""
"56","COL","FLO","","","","","","","","",""
"57","OAK","OAK","OAK","COL","LAN","LAN","","","","",""
"58","SLN","CHA","OAK","OAK","","","","","","",""
"59","ARI","ARI","MIL","","","","","","","",""
"60","CLE","CLE","","","","","","","","",""
"61","BOS","BOS","","","","","","","","",""
"62","CHA","","","","","","","","","",""
"63","COL","","","","","","","","","",""
"64","BAL","BAL","SEA","MIA","","","","","","",""
"65","TBA","TBA","","","","","","","","",""
"66","TEX","TEX","TEX","TEX","TEX","TEX","","","","",""
"67","BAL","","","","","","","","","",""
"68","WAS","WAS","HOU","NYN","","","","","","",""
"69","NYA","SLN","","","","","","","","",""
"70","TOR","","","","","","","","","",""
"71","MIL","MIL","KCA","SFN","SEA","","","","","",""
"72","BAL","","","","","","","","","",""
"73","PHI","PHI","","","","","","","","",""
"74","TBA","TBA","TBA","TBA","TBA","","","","","",""
"75","MIL","","","","","","","","","",""
"76","MIN","MIN","MIN","MIN","TBA","MIA","SDN","","","",""
"77","COL","COL","COL","COL","","","","","","",""
"78","TOR","TOR","TOR","TEX","TBA","","","","","",""
"79","SFN","SFN","SFN","SFN","","","","","","",""
"80","CLE","CLE","","","","","","","","",""
"81","BOS","SEA","","","","","","","","",""
"82","CIN","CIN","","","","","","","","",""
"83","BAL","BAL","BAL","CHN","CHN","CHN","CHN","","","",""
"84","CIN","CIN","CIN","ARI","","","","","","",""
"85","LAN","","","","","","","","","",""
"86","PIT","","","","","","","","","",""
"87","PHI","PHI","PHI","PHI","","","","","","",""
"88","PHI","PHI","","","","","","","","",""
"89","MIL","","","","","","","","","",""
"90","SDN","","","","","","","","","",""
"91","BOS","BOS","NYN","CLE","CLE","","","","","",""
"92","BAL","","","","","","","","","",""
"93","SLN","","","","","","","","","",""
"94","PHI","PHI","PHI","PHI","","","","","","",""
"95","NYA","","","","","","","","","",""
"96","BAL","","","","","","","","","",""
"97","DET","DET","DET","DET","DET","CHA","","","","",""
"98","ATL","ATL","ATL","ATL","LAN","LAN","","","","",""
"99","KCA","BOS","BOS","CLE","CLE","CLE","DET","","","",""
"100","CHA","CHA","CHA","CIN","CIN","","","","","",""
"101","MIL","MIL","MIL","SLN","CLE","PIT","COL","OAK","","",""
"102","NYA","BAL","BAL","ATL","","","","","","",""
"103","LAA","LAA","LAA","LAA","LAA","ATL","DET","","","",""
"104","FLO","TBA","MIL","BOS","CIN","","","","","",""
"105","PHI","","","","","","","","","",""
"106","CHN","CHN","CHN","","","","","","","",""
"107","LAN","LAN","LAN","","","","","","","",""
"108","OAK","BOS","BOS","NYA","PHI","LAA","","","","",""
"109","CIN","CIN","CIN","CIN","CIN","CIN","","","","",""
"110","CHN","CHN","DET","ATL","TEX","MIA","MIA","","","",""
"111","FLO","SDN","SDN","CHN","","","","","","",""
"112","MIN","CHN","TEX","LAN","","","","","","",""
"113","WAS","DET","CIN","","","","","","","",""
"114","OAK","OAK","OAK","TBA","TBA","","","","","",""
"115","LAA","LAA","","","","","","","","",""
"116","SEA","","","","","","","","","",""
"117","ATL","","","","","","","","","",""
"118","LAN","PIT","","","","","","","","",""
"119","NYA","","","","","","","","","",""
"120","BOS","BOS","BOS","","","","","","","",""
"121","SEA","","","","","","","","","",""
"122","HOU","PIT","PIT","PIT","SDN","","","","","",""
"123","LAN","LAN","","","","","","","","",""
"124","HOU","HOU","COL","COL","COL","","","","","",""
"125","CHN","CHN","CHN","CHN","LAN","LAN","TOR","TOR","","",""
"126","TOR","","","","","","","","","",""
"127","MIL","","","","","","","","","",""
"128","BOS","BOS","BOS","","","","","","","",""
"129","CLE","CLE","","","","","","","","",""
"130","TEX","","","","","","","","","",""
"131","CIN","CIN","CIN","","","","","","","",""
"132","SEA","","","","","","","","","",""
"133","MIA","MIA","","","","","","","","",""
"134","WAS","WAS","","","","","","","","",""
"135","ARI","","","","","","","","","",""
"136","MIL","","","","","","","","","",""
"137","SDN","SDN","MIN","","","","","","","",""
"138","OAK","OAK","OAK","OAK","","","","","","",""
"139","SDN","SDN","SDN","HOU","TEX","","","","","",""
"140","CHA","OAK","OAK","","","","","","","",""
"141","PHI","PHI","PHI","PHI","PIT","NYN","PIT","","","",""
"142","SLN","NYN","NYN","ATL","","","","","","",""
"143","ARI","CLE","CLE","CLE","CLE","","","","","",""
"144","SDN","","","","","","","","","",""
"145","TOR","TOR","TOR","TOR","TOR","TOR","","","","",""
"146","NYN","NYN","NYN","LAN","CHN","","","","","",""
"147","NYN","NYN","SEA","","","","","","","",""
"148","ATL","ATL","ATL","LAN","","","","","","",""
"149","NYN","NYN","BOS","BOS","ATL","","","","","",""
"150","SEA","SEA","SEA","SEA","","","","","","",""
"151","TOR","TOR","","","","","","","","",""
"152","CHA","CHA","","","","","","","","",""
"153","BOS","BOS","LAN","LAN","LAN","","","","","",""
"154","CHA","CHA","CHA","CHA","LAA","CHA","ATL","SFN","","",""
"155","TBA","TBA","TBA","","","","","","","",""
"156","SEA","BOS","PIT","HOU","TBA","","","","","",""
"157","LAA","LAA","LAA","","","","","","","",""
"158","CHN","CHN","","","","","","","","",""
"159","PIT","SEA","SEA","","","","","","","",""
"160","BAL","","","","","","","","","",""
"161","COL","COL","COL","COL","SLN","WAS","","","","",""
"162","LAN","LAN","CHA","TBA","","","","","","",""
"163","CHN","TBA","TBA","TBA","","","","","","",""
"164","TBA","","","","","","","","","",""
"165","SDN","MIA","ARI","TBA","","","","","","",""
"166","BAL","ARI","","","","","","","","",""
"167","PIT","","","","","","","","","",""
"168","LAA","CIN","","","","","","","","",""
"169","TBA","","","","","","","","","",""
"170","DET","DET","MIA","","","","","","","",""
"171","SFN","SFN","SFN","SFN","SFN","SFN","","","","",""
"172","TEX","TEX","TEX","TEX","TEX","TEX","","","","",""
"173","NYN","SFN","SLN","SLN","NYA","NYA","NYA","TEX","","",""
"174","TEX","","","","","","","","","",""
"175","BOS","","","","","","","","","",""
"176","DET","DET","DET","SDN","SDN","SEA","TOR","","","",""
"177","MIN","","","","","","","","","",""
"178","MIN","","","","","","","","","",""
"179","BAL","ARI","","","","","","","","",""
"180","CHN","","","","","","","","","",""
"181","COL","COL","COL","","","","","","","",""
"182","BAL","BAL","CHN","","","","","","","",""
"183","SLN","SLN","TEX","","","","","","","",""
"184","WAS","WAS","WAS","PHI","CIN","LAN","","","","",""
"185","MIN","MIN","MIN","","","","","","","",""
"186","MIN","","","","","","","","","",""
"187","DET","BOS","BAL","CHN","","","","","","",""
"188","NYA","NYA","NYA","NYA","NYA","","","","","",""
"189","COL","COL","COL","COL","","","","","","",""
"190","MIL","KCA","MIL","","","","","","","",""
"191","KCA","DET","BAL","BAL","","","","","","",""
"192","ATL","ATL","ATL","SDN","","","","","","",""
"193","COL","COL","COL","COL","","","","","","",""
"194","BOS","BOS","BOS","","","","","","","",""
"195","TOR","","","","","","","","","",""
"196","MIL","MIL","MIL","BOS","","","","","","",""
"197","COL","OAK","NYA","","","","","","","",""
"198","LAN","LAN","LAN","PHI","","","","","","",""
"199","NYA","","","","","","","","","",""
"200","WAS","HOU","","","","","","","","",""
"201","SFN","","","","","","","","","",""
"202","COL","COL","COL","COL","COL","COL","","","","",""
"203","MIN","MIN","","","","","","","","",""
"204","SFN","OAK","HOU","TEX","","","","","","",""
"205","PIT","NYN","NYN","","","","","","","",""
"206","ATL","","","","","","","","","",""
"207","OAK","","","","","","","","","",""
"208","LAN","","","","","","","","","",""
"209","TEX","PHI","PHI","PHI","","","","","","",""
"210","SFN","SFN","SFN","SFN","SFN","","","","","",""
"211","ARI","ARI","TOR","SEA","","","","","","",""
"212","SDN","SDN","SDN","SDN","OAK","TEX","","","","",""
"213","PHI","PHI","LAN","LAA","KCA","PIT","LAN","","","",""
"214","SDN","","","","","","","","","",""
"215","SLN","MIL","MIL","MIL","","","","","","",""
"216","NYA","","","","","","","","","",""
"217","OAK","OAK","OAK","WAS","NYN","NYN","","","","",""
"218","ARI","ARI","ARI","SEA","SEA","","","","","",""
"219","ARI","ARI","","","","","","","","",""
"220","SFN","SFN","","","","","","","","",""
"221","DET","DET","NYA","LAA","CIN","","","","","",""
"222","BOS","BOS","BOS","BOS","","","","","","",""
"223","MIL","","","","","","","","","",""
"224","SLN","SLN","SLN","COL","","","","","","",""
"225","HOU","HOU","CHN","PHI","","","","","","",""
"226","ARI","LAN","LAN","","","","","","","",""
"227","SEA","DET","","","","","","","","",""
"228","FLO","MIA","TOR","KCA","CHN","ATL","CHA","ATL","","",""
"229","TEX","","","","","","","","","",""
"230","NYA","","","","","","","","","",""
"231","TEX","TEX","CHN","BAL","","","","","","",""
"232","ATL","ATL","CHN","","","","","","","",""
"233","PIT","","","","","","","","","",""
"234","LAA","MIN","","","","","","","","",""
"235","HOU","KCA","TBA","CIN","CIN","","","","","",""
"236","LAA","LAA","LAA","SLN","SLN","PHI","","","","",""
"237","MIA","MIA","MIA","","","","","","","",""
"238","HOU","ATL","ATL","CLE","CLE","CLE","ATL","ARI","BAL","",""
"239","BOS","BOS","CHN","CHN","","","","","","",""
"240","PIT","PHI","","","","","","","","",""
"241","SLN","","","","","","","","","",""
"242","SDN","SDN","TBA","TBA","TBA","","","","","",""
"243","TOR","DET","DET","","","","","","","",""
"244","NYN","SDN","MIN","MIL","","","","","","",""
"245","SDN","SDN","SDN","BAL","BAL","BAL","","","","",""
"246","ARI","ARI","","","","","","","","",""
"247","NYA","","","","","","","","","",""
"248","MIL","","","","","","","","","",""
"249","OAK","","","","","","","","","",""
"250","ARI","ARI","","","","","","","","",""
"251","BOS","BOS","BOS","BOS","","","","","","",""
"252","ATL","","","","","","","","","",""
"253","SEA","","","","","","","","","",""
"254","CLE","CLE","CLE","CLE","CLE","CLE","","","","",""
"255","MIA","MIA","CHA","","","","","","","",""
"256","ARI","LAA","","","","","","","","",""
"257","LAA","","","","","","","","","",""
"258","PIT","","","","","","","","","",""
"259","MIL","MIL","MIL","MIL","MIL","MIL","","","","",""
