카테고리: 모든 카테고리

월,뉴욕 양키스: (미국),필라델피아 필리스: (미국),로스앤젤레스 다저스: (미국),샌프란시스코 자이언츠: (미국),보스턴 레드삭스: (미국)
2004-01,5,1,1,1,4
2004-02,10,2,2,2,6
2004-03,10,2,3,2,7
2004-04,15,4,4,5,14
2004-05,12,4,4,4,11
2004-06,13,3,4,4,10
2004-07,14,4,4,4,12
2004-08,10,2,4,4,10
2004-09,14,2,4,4,15
2004-10,31,1,4,2,66
2004-11,7,1,1,1,15
2004-12,9,1,2,2,14
2005-01,7,1,2,1,7
2005-02,7,1,2,2,7
2005-03,9,2,3,2,8
2005-04,16,3,6,4,17
2005-05,15,3,4,4,13
2005-06,14,4,4,3,13
2005-07,15,3,4,3,14
2005-08,14,2,3,3,13
2005-09,16,3,2,3,16
2005-10,16,1,2,1,12
2005-11,7,1,2,1,5
2005-12,10,1,3,2,8
2006-01,6,1,2,1,7
2006-02,7,1,2,1,6
2006-03,8,2,3,2,7
2006-04,16,4,5,5,15
2006-05,16,4,4,4,14
2006-06,15,3,4,4,13
2006-07,14,3,4,4,12
2006-08,17,3,5,3,14
2006-09,13,4,5,3,8
2006-10,15,1,3,2,4
2006-11,6,1,2,1,4
2006-12,7,1,2,2,6
2007-01,6,1,2,1,5
2007-02,7,2,2,1,6
2007-03,9,3,3,3,8
2007-04,17,5,6,5,18
2007-05,16,4,4,4,15
2007-06,17,5,5,4,15
2007-07,16,5,5,5,13
2007-08,18,5,4,5,14
2007-09,17,6,3,3,16
2007-10,16,5,2,1,40
2007-11,8,1,2,1,10
2007-12,8,2,2,2,8
2008-01,6,1,2,3,5
2008-02,7,2,2,3,6
2008-03,12,3,4,2,10
2008-04,17,6,5,4,16
2008-05,13,4,4,3,11
2008-06,14,5,4,3,12
2008-07,17,5,4,3,11
2008-08,12,4,5,3,10
2008-09,11,5,5,3,10
2008-10,5,22,7,2,18
2008-11,5,4,2,2,4
2008-12,8,3,2,2,6
2009-01,6,2,2,2,5
2009-02,7,2,2,2,5
2009-03,8,3,3,2,6
2009-04,17,7,5,4,14
2009-05,14,6,6,4,11
2009-06,14,6,5,4,11
2009-07,13,8,5,5,11
2009-08,16,7,6,5,12
2009-09,15,6,5,5,9
2009-10,34,21,9,2,7
2009-11,26,8,1,2,3
2009-12,9,3,2,2,5
2010-01,6,2,2,1,4
2010-02,6,2,2,1,3
2010-03,8,3,3,2,5
2010-04,17,8,6,6,13
2010-05,15,9,5,5,9
2010-06,13,6,5,4,9
2010-07,16,7,5,5,8
2010-08,13,7,5,7,9
2010-09,13,9,3,8,6
2010-10,26,17,2,33,4
2010-11,5,2,1,13,3
2010-12,7,4,2,6,5
2011-01,5,3,2,3,4
2011-02,6,4,2,3,5
2011-03,10,5,4,4,6
2011-04,18,13,9,12,16
2011-05,14,10,5,9,13
2011-06,15,10,5,10,12
2011-07,16,11,5,11,12
2011-08,15,10,4,11,13
2011-09,17,11,4,9,16
2011-10,15,9,2,4,5
2011-11,5,3,2,4,4
2011-12,5,3,2,4,5
2012-01,5,2,2,10,4
2012-02,6,3,2,5,4
2012-03,9,4,4,4,6
2012-04,17,8,8,9,14
2012-05,13,7,7,7,11
2012-06,15,7,7,9,10
2012-07,16,7,8,9,10
2012-08,12,5,9,10,9
2012-09,14,6,7,13,6
2012-10,27,2,3,39,4
2012-11,4,2,2,6,3
2012-12,5,3,3,6,4
2013-01,4,2,2,2,3
2013-02,5,2,3,3,4
2013-03,7,3,4,4,5
2013-04,14,7,11,11,16
2013-05,12,6,7,10,10
2013-06,12,6,11,8,11
2013-07,13,6,12,9,12
2013-08,14,5,14,8,13
2013-09,12,3,11,9,14
2013-10,4,1,22,4,56
2013-11,4,1,2,4,8
2013-12,8,1,3,3,5
2014-01,6,1,3,2,4
2014-02,6,2,4,2,4
2014-03,7,3,6,3,6
2014-04,18,7,12,10,14
2014-05,13,5,9,9,11
2014-06,12,5,9,9,10
2014-07,14,5,10,9,11
2014-08,12,4,10,9,9
2014-09,13,3,11,13,6
2014-10,4,1,11,48,3
2014-11,4,1,2,6,4
2014-12,6,1,4,4,4
2015-01,4,1,2,2,3
2015-02,5,1,3,2,4
2015-03,6,2,4,3,5
2015-04,16,6,12,10,15
2015-05,13,4,10,9,10
2015-06,13,5,9,9,10
2015-07,15,5,10,9,11
2015-08,17,5,10,11,9
2015-09,16,3,12,12,7
2015-10,10,1,15,6,3
2015-11,4,1,3,6,3
2015-12,5,1,4,6,3
2016-01,4,1,3,3,2
2016-02,5,1,3,2,3
2016-03,6,2,5,4,5
2016-04,14,6,14,13,14
2016-05,13,7,11,10,16
2016-06,12,5,11,11,14
2016-07,14,5,11,11,15
2016-08,15,4,13,11,14
2016-09,14,3,14,15,18
2016-10,4,1,40,23,13
2016-11,5,1,3,5,3
2016-12,6,1,4,7,3
2017-01,4,1,3,5,2
2017-02,5,2,4,2,3
2017-03,7,2,5,3,5
2017-04,18,7,14,10,16
2017-05,21,5,13,9,12
2017-06,22,5,14,7,14
2017-07,26,5,18,7,18
2017-08,24,4,17,7,19
2017-09,24,4,16,8,19
2017-10,78,1,76,5,13
2017-11,7,1,26,4,3
2017-12,13,2,4,5,4
2018-01,8,1,3,3,3
2018-02,10,2,4,3,5
2018-03,14,4,8,5,7
2018-04,29,9,16,10,22
2018-05,33,8,13,8,19
2018-06,31,8,15,9,17
2018-07,34,12,18,9,21
2018-08,30,11,17,8,27
2018-09,26,7,24,8,23
2018-10,31,1,100,4,88
2018-11,9,2,4,3,5
2018-12,13,4,6,4,4
2019-01,12,4,5,2,3
2019-02,11,8,6,3,4
2019-03,14,9,11,5,8
2019-04,24,18,20,8,19
2019-05,26,13,18,7,18
2019-06,33,14,23,7,20
2019-07,32,12,21,9,19
2019-08,41,15,23,10,23
