Symbol,Company,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
GOOG,Alphabet Inc.,"Apr 28, 2020, 12 AMEDT",10.38,9.87,-4.91
GOOG,Alphabet Inc.,"Feb 03, 2020, 12 AMEDT",12.59,15.35,21.96
GOOG,Alphabet Inc.,"Oct 28, 2019, 12 AMEDT",12.46,10.12,-18.75
GOOG,Alphabet Inc.,"Jul 25, 2019, 12 AMEDT",11.33,14.21,25.39
GOOG,Alphabet Inc.,"Apr 29, 2019, 12 AMEDT",10.63,9.5,-10.63
GOOG,Alphabet Inc.,"Feb 04, 2019, 12 AMEDT",10.82,12.77,18.0
GOOG,Alphabet Inc.,"Oct 25, 2018, 12 AMEDT",10.4,13.06,25.58
GOOG,Alphabet Inc.,"Jul 23, 2018, 12 AMEDT",9.54,4.54,-52.4
GOOG,Alphabet Inc.,"Apr 23, 2018, 12 AMEDT",9.32,13.33,43.06
GOOG,Alphabet Inc.,"Feb 01, 2018, 12 AMEDT",9.96,9.7,-2.63
GOOG,Alphabet Inc.,"Oct 26, 2017, 12 AMEDT",8.33,9.57,14.9
GOOG,Alphabet Inc.,"Jul 24, 2017, 12 AMEDT",4.47,5.01,12.06
GOOG,Alphabet Inc.,"Apr 27, 2017, 12 AMEDT",7.39,7.73,4.61
GOOG,Alphabet Inc.,"Jan 26, 2017, 12 AMEDT",9.67,9.36,-3.19
GOOG,Alphabet Inc.,"Oct 27, 2016, 12 AMEDT",8.64,9.06,4.84
GOOG,Alphabet Inc.,"Jul 28, 2016, 12 AMEDT",8.03,8.42,4.88
GOOG,Alphabet Inc.,"Apr 21, 2016, 12 AMEDT",7.96,7.5,-5.72
GOOG,Alphabet Inc.,"Feb 01, 2016, 12 AMEDT",8.1,8.67,7.05
GOOG,Alphabet Inc.,"Oct 22, 2015, 12 AMEDT",7.21,7.35,1.91
GOOG,Alphabet Inc.,"Jul 16, 2015, 12 AMEDT",6.74,6.99,3.66
