Symbol,Company,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
MSFT,Microsoft Corporation,"Jul 22, 2020, 12 AMEDT",1.34,1.46,8.71
MSFT,Microsoft Corporation,"Apr 29, 2020, 12 AMEDT",1.26,1.4,10.67
MSFT,Microsoft Corporation,"Jan 29, 2020, 12 AMEDT",1.32,1.51,14.48
MSFT,Microsoft Corporation,"Oct 23, 2019, 12 AMEDT",1.25,1.38,10.84
MSFT,Microsoft Corporation,"Jul 18, 2019, 12 AMEDT",1.21,1.37,12.94
MSFT,Microsoft Corporation,"Apr 24, 2019, 12 AMEDT",1.0,1.14,14.11
MSFT,Microsoft Corporation,"Jan 30, 2019, 12 AMEDT",1.09,1.1,0.73
MSFT,Microsoft Corporation,"Oct 24, 2018, 12 AMEDT",0.96,1.14,18.38
MSFT,Microsoft Corporation,"Jul 19, 2018, 12 AMEDT",1.08,1.13,5.02
MSFT,Microsoft Corporation,"Apr 26, 2018, 12 AMEDT",0.85,0.95,11.9
MSFT,Microsoft Corporation,"Jan 31, 2018, 12 AMEDT",0.87,0.96,10.98
MSFT,Microsoft Corporation,"Oct 26, 2017, 12 AMEDT",0.72,0.84,16.5
MSFT,Microsoft Corporation,"Jul 20, 2017, 12 AMEDT",0.71,0.98,39.01
MSFT,Microsoft Corporation,"Apr 27, 2017, 12 AMEDT",0.7,0.73,4.73
MSFT,Microsoft Corporation,"Jan 26, 2017, 12 AMEDT",0.79,0.83,4.93
MSFT,Microsoft Corporation,"Oct 20, 2016, 12 AMEDT",0.68,0.76,11.27
MSFT,Microsoft Corporation,"Jul 19, 2016, 12 AMEDT",0.58,0.69,18.76
MSFT,Microsoft Corporation,"Apr 21, 2016, 12 AMEDT",0.64,0.62,-2.67
MSFT,Microsoft Corporation,"Jan 28, 2016, 12 AMEDT",0.71,0.78,9.4
MSFT,Microsoft Corporation,"Oct 22, 2015, 12 AMEDT",0.59,0.67,14.33
MSFT,Microsoft Corporation,"Jul 21, 2015, 12 AMEDT",0.56,0.6,6.57
MSFT,Microsoft Corporation,"Apr 23, 2015, 12 AMEDT",0.51,0.61,20.55
MSFT,Microsoft Corporation,"Jan 26, 2015, 12 AMEDT",0.71,0.71,-0.42
MSFT,Microsoft Corporation,"Oct 23, 2014, 12 AMEDT",0.49,0.54,11.11
MSFT,Microsoft Corporation,"Jul 22, 2014, 12 AMEDT",0.6,0.55,-8.65
MSFT,Microsoft Corporation,"Apr 24, 2014, 12 AMEDT",0.63,0.68,8.02
MSFT,Microsoft Corporation,"Jan 23, 2014, 12 AMEDT",0.68,0.78,14.83
MSFT,Microsoft Corporation,"Oct 24, 2013, 12 AMEDT",0.54,0.62,15.1
MSFT,Microsoft Corporation,"Jul 18, 2013, 12 AMEDT",0.75,0.66,-11.96
MSFT,Microsoft Corporation,"Apr 18, 2013, 12 AMEDT",0.68,0.72,5.97
MSFT,Microsoft Corporation,"Jan 24, 2013, 12 AMEDT",0.75,0.76,1.93
MSFT,Microsoft Corporation,"Oct 18, 2012, 12 AMEDT",0.56,0.53,-5.47
MSFT,Microsoft Corporation,"Jul 19, 2012, 12 AMEDT",0.62,0.67,8.48
MSFT,Microsoft Corporation,"Apr 19, 2012, 12 AMEDT",0.57,0.6,4.38
MSFT,Microsoft Corporation,"Jan 19, 2012, 12 AMEDT",0.76,0.78,2.93
MSFT,Microsoft Corporation,"Oct 20, 2011, 12 AMEDT",0.68,0.68,0.38
MSFT,Microsoft Corporation,"Jul 21, 2011, 12 AMEDT",0.58,0.69,19.88
MSFT,Microsoft Corporation,"Apr 28, 2011, 12 AMEDT",0.56,0.61,9.74
MSFT,Microsoft Corporation,"Jan 27, 2011, 12 AMEDT",0.68,0.77,12.57
MSFT,Microsoft Corporation,"Oct 28, 2010, 12 AMEDT",0.55,0.62,12.98
MSFT,Microsoft Corporation,"Jul 22, 2010, 12 AMEDT",0.46,0.51,9.82
MSFT,Microsoft Corporation,"Apr 22, 2010, 12 AMEDT",0.42,0.45,6.95
MSFT,Microsoft Corporation,"Jan 28, 2010, 12 AMEDT",0.59,0.74,24.79
MSFT,Microsoft Corporation,"Oct 23, 2009, 12 AMEDT",0.32,0.4,25.76
MSFT,Microsoft Corporation,"Jul 23, 2009, 12 AMEDT",0.36,0.36,0.22
MSFT,Microsoft Corporation,"Apr 23, 2009, 12 AMEDT",0.39,0.39,0.26
MSFT,Microsoft Corporation,"Jan 22, 2009, 12 AMEDT",0.49,0.47,-4.84
MSFT,Microsoft Corporation,"Oct 23, 2008, 12 AMEDT",0.47,0.48,1.84
MSFT,Microsoft Corporation,"Jul 17, 2008, 12 AMEDT",0.47,0.46,-2.13
MSFT,Microsoft Corporation,"Apr 24, 2008, 12 AMEDT",0.44,0.47,6.74
