Symbol,Company,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
NFLX,"Netflix, Inc.","Jul 16, 2020, 12 AMEDT",1.81,1.59,-12.25
NFLX,"Netflix, Inc.","Apr 21, 2020, 12 AMEDT",1.65,1.57,-4.96
NFLX,"Netflix, Inc.","Jan 21, 2020, 12 AMEDT",0.53,1.3,146.68
NFLX,"Netflix, Inc.","Oct 16, 2019, 12 AMEDT",1.04,1.47,40.94
NFLX,"Netflix, Inc.","Jul 17, 2019, 12 AMEDT",0.56,0.6,6.57
NFLX,"Netflix, Inc.","Apr 16, 2019, 12 AMEDT",0.57,0.76,32.64
NFLX,"Netflix, Inc.","Jan 17, 2019, 12 AMEDT",0.24,0.3,25.52
NFLX,"Netflix, Inc.","Oct 16, 2018, 12 AMEDT",0.68,0.89,30.88
NFLX,"Netflix, Inc.","Jul 16, 2018, 12 AMEDT",0.79,0.85,7.19
NFLX,"Netflix, Inc.","Apr 16, 2018, 12 AMEDT",0.64,0.64,0.63
NFLX,"Netflix, Inc.","Jan 22, 2018, 12 AMEDT",0.41,0.41,-0.49
NFLX,"Netflix, Inc.","Oct 16, 2017, 12 AMEDT",0.32,0.29,-9.38
NFLX,"Netflix, Inc.","Jul 17, 2017, 12 AMEDT",0.15,0.15,-1.96
NFLX,"Netflix, Inc.","Apr 17, 2017, 12 AMEDT",0.37,0.4,7.24
NFLX,"Netflix, Inc.","Jan 18, 2017, 12 AMEDT",0.13,0.15,13.64
NFLX,"Netflix, Inc.","Oct 17, 2016, 12 AMEDT",0.06,0.12,114.29
NFLX,"Netflix, Inc.","Jul 18, 2016, 12 AMEDT",0.02,0.09,275.0
NFLX,"Netflix, Inc.","Apr 18, 2016, 12 AMEDT",0.03,0.06,76.47
NFLX,"Netflix, Inc.","Jan 19, 2016, 12 AMEDT",0.02,0.1,376.19
NFLX,"Netflix, Inc.","Oct 14, 2015, 12 AMEDT",0.08,0.07,-6.67
NFLX,"Netflix, Inc.","Jul 15, 2015, 12 AMEDT",0.04,0.06,36.36
NFLX,"Netflix, Inc.","Apr 15, 2015, 12 AMEDT",0.1,0.05,-45.45
NFLX,"Netflix, Inc.","Jan 20, 2015, 12 AMEDT",0.06,0.1,60.94
NFLX,"Netflix, Inc.","Oct 15, 2014, 12 AMEDT",0.13,0.14,3.79
NFLX,"Netflix, Inc.","Jul 21, 2014, 12 AMEDT",0.17,0.16,-0.53
NFLX,"Netflix, Inc.","Apr 21, 2014, 12 AMEDT",0.12,0.12,3.87
