Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
ABBV,2024-10-30,2.92,3.0,2.92
ABBV,2024-07-25,2.57,2.65,3.3
ABBV,2024-04-26,2.23,2.31,3.76
ABBV,2024-02-02,2.77,2.79,0.84
ABBV,2023-10-27,2.86,2.95,3.25
ABBV,2023-07-27,2.81,2.91,3.69
ABBV,2023-04-27,2.46,2.46,0.11
ABBV,2023-02-09,3.56,3.6,1.15
ABBV,2022-10-28,3.57,3.66,2.43
ABBV,2022-07-29,3.31,3.37,1.69
ABBV,2022-04-29,3.14,3.24,3.13
ABBV,2022-02-02,3.29,3.31,0.74
ABBV,2021-10-29,3.22,3.33,3.32
ABBV,2021-04-30,2.83,2.95,4.29
ABBV,2021-02-03,2.85,2.92,2.42
ABBV,2020-10-30,2.77,2.83,2.35
ABBV,2020-07-31,2.19,2.34,6.89
ABBV,2020-05-01,2.25,2.42,7.74
ABBV,2020-02-07,2.19,2.21,0.83
ABBV,2019-11-01,2.3,2.33,1.45
ABBV,2019-07-26,2.21,2.26,2.21
ABBV,2019-04-25,2.05,2.14,4.18
ABBV,2019-01-25,1.94,1.9,-1.95
ABBV,2018-11-02,2.02,2.14,6.18
ABBV,2018-07-27,1.97,2.0,1.36
ABBV,2018-04-26,1.79,1.87,4.3
ABBV,2018-01-26,1.44,1.48,2.9
ABBV,2017-10-27,1.38,1.41,1.81
ABBV,2017-07-28,1.4,1.42,1.53
ABBV,2017-04-27,1.26,1.28,1.44
ABBV,2017-01-27,1.2,1.2,0.39
ABBV,2016-10-28,1.2,1.21,1.05
ABBV,2016-07-29,1.2,1.26,4.98
ABBV,2016-04-28,1.13,1.15,1.51
ABBV,2016-01-29,1.12,1.13,0.76
ABBV,2015-10-30,1.08,1.13,4.75
ABBV,2015-07-24,1.06,1.08,1.96
ABBV,2015-04-23,0.85,0.94,10.2
ABBV,2015-01-30,0.86,0.89,3.94
ABBV,2014-10-31,0.77,0.89,15.19
ABBV,2014-07-25,0.76,0.82,8.18
ABBV,2014-04-25,0.68,0.71,4.41
ABBV,2014-01-31,0.82,0.82,-0.46
ABBV,2013-10-25,0.78,0.82,5.67
ABBV,2013-07-26,0.79,0.82,4.16
ABBV,2013-04-26,0.67,0.68,2.1
