Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
ACN,2024-09-26,2.78,2.79,0.31
ACN,2024-06-20,3.15,3.13,-0.65
ACN,2024-03-21,2.66,2.77,4.02
ACN,2023-12-19,3.14,3.27,4.01
ACN,2023-09-28,2.66,2.71,2.0
ACN,2023-06-22,3.04,3.19,5.0
ACN,2023-03-23,2.5,2.69,7.69
ACN,2022-12-16,2.91,3.08,5.77
ACN,2022-09-22,2.57,2.6,1.14
ACN,2022-06-23,2.85,2.94,3.18
ACN,2022-03-17,2.37,2.54,7.15
ACN,2021-12-16,2.63,2.78,5.8
ACN,2021-09-23,2.19,2.2,0.45
ACN,2021-06-24,2.23,2.4,7.48
ACN,2021-03-18,1.9,2.03,6.97
ACN,2020-12-17,2.05,2.32,12.96
ACN,2020-09-24,1.73,1.7,-1.89
ACN,2020-06-25,1.85,1.9,2.92
ACN,2020-03-19,1.72,1.91,10.91
ACN,2019-12-19,2.0,2.09,4.75
ACN,2019-09-26,1.71,1.74,1.53
ACN,2019-06-27,1.89,1.93,2.02
ACN,2019-03-28,1.57,1.73,10.38
ACN,2018-12-20,1.86,1.96,5.47
ACN,2018-09-27,1.56,1.58,1.58
ACN,2018-06-28,1.72,1.79,4.04
ACN,2018-03-22,1.49,1.58,6.21
ACN,2017-12-21,1.67,1.79,7.45
ACN,2017-09-28,1.47,1.48,1.02
ACN,2017-06-22,1.52,1.52,0.02
ACN,2017-03-23,1.3,1.33,2.38
ACN,2016-12-21,1.49,1.58,5.86
ACN,2016-09-29,1.3,1.31,0.82
ACN,2016-06-23,1.41,1.41,0.18
ACN,2016-03-24,1.18,1.34,13.2
ACN,2015-12-17,1.32,1.35,2.42
ACN,2015-09-24,1.12,1.15,2.82
ACN,2015-06-25,1.23,1.3,5.75
ACN,2015-03-26,1.07,1.08,0.55
ACN,2014-12-18,1.2,1.29,7.75
ACN,2014-09-24,1.1,1.08,-1.95
ACN,2014-06-26,1.21,1.26,4.39
ACN,2014-03-27,1.04,1.03,-0.59
ACN,2013-12-19,1.09,1.13,3.63
ACN,2013-09-26,1.01,1.01,0.39
ACN,2013-06-27,1.13,1.14,0.56
ACN,2013-03-28,0.97,1.0,2.99
ACN,2012-12-19,1.04,1.06,1.46
ACN,2012-09-27,0.88,0.88,0.26
ACN,2012-06-28,0.99,1.03,3.66
ACN,2012-03-22,0.86,0.97,12.85
ACN,2011-12-15,0.94,0.96,2.06
ACN,2011-09-27,0.88,0.91,2.86
ACN,2011-06-23,0.9,0.93,3.72
ACN,2011-03-24,0.71,0.75,4.97
ACN,2010-12-16,0.75,0.81,7.7
ACN,2010-09-30,0.63,0.66,4.1
ACN,2010-06-24,0.69,0.73,6.16
ACN,2010-03-25,0.61,0.6,-2.17
ACN,2009-12-17,0.65,0.67,2.8
ACN,2009-10-01,0.63,0.63,0.43
ACN,2009-06-25,0.64,0.68,5.52
ACN,2009-03-26,0.62,0.63,2.41
ACN,2008-12-18,0.68,0.74,9.07
ACN,2008-09-25,0.66,0.67,0.84
ACN,2008-06-26,0.69,0.74,6.67
ACN,2008-03-27,0.56,0.64,13.96
ACN,2007-12-19,0.56,0.6,7.89
ACN,2007-09-27,0.48,0.5,4.63
ACN,2007-06-28,0.55,0.54,-1.02
ACN,2007-03-27,0.42,0.47,11.64
ACN,2006-12-20,0.42,0.46,10.44
ACN,2006-09-28,0.38,0.39,2.65
ACN,2006-06-29,0.46,0.5,9.42
ACN,2006-03-28,0.35,0.37,6.41
ACN,2006-01-05,0.34,0.36,5.45
ACN,2005-10-06,0.36,0.38,5.56
ACN,2005-07-07,0.43,0.44,2.8
ACN,2005-04-07,0.32,0.32,-0.35
ACN,2005-01-06,0.31,0.32,4.35
ACN,2004-10-13,0.28,0.3,5.77
ACN,2004-03-30,0.25,0.29,15.74
ACN,2004-01-13,0.28,0.27,-2.66
ACN,2003-10-09,0.25,0.25,1.43
ACN,2003-07-15,0.25,0.28,12.24
ACN,2003-04-14,0.24,0.25,4.9
ACN,2003-01-09,0.26,0.27,2.13
ACN,2002-07-12,0.26,0.27,3.0
ACN,2002-04-11,0.22,0.23,3.14
ACN,2002-01-09,0.24,0.25,3.86
ACN,2001-10-11,0.11,0.12,12.5
