Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
ADBE,2024-09-12,4.53,4.65,2.68
ADBE,2024-06-13,4.39,4.48,2.06
ADBE,2024-03-14,4.38,4.48,2.3
ADBE,2023-12-13,4.14,4.27,3.21
ADBE,2023-09-14,3.98,4.09,2.79
ADBE,2023-06-15,3.79,3.91,3.25
ADBE,2023-03-15,3.68,3.8,3.25
ADBE,2022-12-15,3.5,3.6,2.77
ADBE,2022-09-15,3.33,3.4,1.98
ADBE,2022-06-16,3.31,3.35,1.23
ADBE,2022-03-22,3.34,3.37,0.79
ADBE,2021-12-16,3.2,3.2,0.09
ADBE,2021-09-21,3.01,3.11,3.27
ADBE,2021-06-17,2.81,3.03,7.73
ADBE,2021-03-23,2.78,3.14,12.75
ADBE,2020-12-10,2.66,2.81,5.8
ADBE,2020-09-15,2.41,2.57,6.62
ADBE,2020-06-11,2.33,2.45,5.13
ADBE,2020-03-12,2.23,2.2,-1.2
ADBE,2019-12-12,2.26,2.29,1.44
ADBE,2019-09-17,1.97,2.05,3.94
ADBE,2019-06-18,1.78,1.83,2.7
ADBE,2019-03-14,1.62,1.65,2.11
ADBE,2018-12-13,1.88,1.9,1.15
ADBE,2018-09-13,1.69,1.73,2.32
ADBE,2018-06-14,1.54,1.66,7.64
ADBE,2018-03-15,1.44,1.55,7.8
ADBE,2017-12-14,1.16,1.26,8.86
ADBE,2017-09-19,1.01,1.1,9.34
ADBE,2017-06-20,0.95,1.02,7.84
ADBE,2017-03-16,0.87,0.94,8.0
ADBE,2016-12-15,0.86,0.9,4.47
ADBE,2016-09-20,0.72,0.75,3.71
ADBE,2016-06-21,0.68,0.71,4.5
ADBE,2016-03-17,0.61,0.66,8.8
ADBE,2015-12-10,0.6,0.62,3.48
ADBE,2015-09-17,0.5,0.54,8.53
ADBE,2015-06-16,0.45,0.48,6.04
ADBE,2015-03-17,0.39,0.44,13.88
ADBE,2014-12-11,0.3,0.36,21.29
ADBE,2014-09-16,0.26,0.28,6.19
ADBE,2014-06-17,0.3,0.37,24.27
ADBE,2014-03-18,0.25,0.3,19.22
ADBE,2013-12-12,0.32,0.32,0.19
ADBE,2013-09-17,0.34,0.32,-5.34
ADBE,2013-06-18,0.34,0.36,7.24
ADBE,2013-03-19,0.31,0.35,11.64
ADBE,2012-12-13,0.57,0.61,7.92
ADBE,2012-09-19,0.58,0.58,-0.64
ADBE,2012-06-19,0.59,0.6,1.34
ADBE,2012-03-19,0.57,0.57,0.24
ADBE,2011-12-15,0.6,0.67,11.51
ADBE,2011-09-20,0.54,0.55,2.22
ADBE,2011-06-21,0.51,0.55,7.23
ADBE,2011-03-22,0.57,0.58,1.58
ADBE,2010-12-20,0.52,0.56,7.67
ADBE,2010-09-21,0.49,0.54,9.83
ADBE,2010-06-22,0.42,0.44,3.58
ADBE,2010-03-23,0.37,0.4,7.34
ADBE,2009-12-15,0.37,0.39,4.75
ADBE,2009-09-15,0.34,0.35,4.06
ADBE,2009-06-16,0.35,0.35,1.05
ADBE,2009-03-17,0.44,0.45,2.16
ADBE,2008-12-16,0.58,0.6,4.25
ADBE,2008-09-16,0.46,0.5,8.2
ADBE,2008-06-16,0.46,0.5,7.91
ADBE,2008-03-18,0.45,0.48,6.29
ADBE,2007-12-17,0.48,0.49,2.92
ADBE,2007-09-17,0.41,0.45,11.05
ADBE,2007-06-14,0.35,0.37,4.29
ADBE,2007-03-20,0.29,0.3,2.13
ADBE,2006-12-14,0.33,0.33,0.13
ADBE,2006-09-14,0.26,0.29,10.48
ADBE,2006-06-15,0.3,0.31,2.76
ADBE,2006-03-22,0.29,0.32,8.77
ADBE,2005-12-15,0.29,0.3,4.94
ADBE,2005-09-15,0.27,0.29,8.58
ADBE,2005-06-16,0.27,0.28,3.8
ADBE,2005-03-17,0.25,0.27,6.92
ADBE,2004-12-16,0.21,0.22,5.56
ADBE,2004-09-20,0.19,0.22,11.34
ADBE,2004-06-17,0.21,0.22,3.72
ADBE,2004-03-18,0.2,0.25,25.63
ADBE,2003-12-11,0.16,0.17,6.06
ADBE,2003-09-10,0.12,0.14,13.52
ADBE,2003-06-12,0.13,0.14,6.16
ADBE,2003-03-13,0.11,0.13,15.18
ADBE,2002-12-11,0.11,0.13,10.03
ADBE,2002-09-12,0.1,0.11,13.15
ADBE,2002-06-13,0.13,0.14,6.67
ADBE,2002-03-14,0.1,0.11,9.31
ADBE,2001-12-13,0.11,0.1,-5.95
ADBE,2001-09-19,0.14,0.14,-0.2
ADBE,2001-06-14,0.14,0.17,18.15
ADBE,2001-03-15,0.14,0.17,17.55
ADBE,2000-12-14,0.14,0.17,17.68
