Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
AES,2024-10-31,0.64,0.71,11.11
AES,2024-08-01,0.37,0.38,1.72
AES,2024-05-02,0.34,0.5,45.73
AES,2024-02-26,0.67,0.73,9.19
AES,2023-11-02,0.54,0.6,10.98
AES,2023-08-03,0.22,0.21,-3.45
AES,2023-05-04,0.23,0.22,-3.21
AES,2023-02-27,0.46,0.49,5.67
AES,2022-11-04,0.53,0.63,18.28
AES,2022-08-04,0.31,0.34,8.35
AES,2022-05-05,0.28,0.21,-23.8
AES,2022-01-06,0.43,0.45,3.62
AES,2021-11-03,0.43,0.5,15.27
AES,2021-08-04,0.29,0.31,7.31
AES,2021-05-06,0.3,0.28,-6.22
AES,2021-02-25,0.44,0.48,9.09
AES,2020-11-06,0.43,0.42,-2.61
AES,2020-08-06,0.23,0.25,8.7
AES,2020-05-07,0.29,0.29,-0.85
AES,2020-02-28,0.33,0.35,6.6
AES,2019-11-06,0.41,0.48,17.52
AES,2019-08-06,0.27,0.26,-2.57
AES,2019-05-07,0.3,0.28,-6.13
AES,2019-02-27,0.33,0.36,10.77
AES,2018-11-06,0.3,0.35,18.14
AES,2018-08-07,0.28,0.25,-10.28
AES,2018-05-08,0.24,0.28,14.4
AES,2018-02-27,0.34,0.43,25.04
AES,2017-11-02,0.29,0.24,-17.89
AES,2017-08-08,0.21,0.25,20.55
AES,2017-05-08,0.2,0.17,-15.58
AES,2017-02-27,0.36,0.35,-1.72
AES,2016-11-04,0.32,0.32,-1.43
AES,2016-08-05,0.16,0.17,5.0
AES,2016-05-09,0.2,0.13,-35.43
AES,2016-02-24,0.32,0.34,4.78
AES,2015-11-05,0.36,0.39,8.82
AES,2015-08-10,0.27,0.25,-6.37
AES,2015-05-11,0.25,0.25,1.21
AES,2015-02-26,0.36,0.41,13.85
AES,2014-11-06,0.34,0.37,9.57
AES,2014-08-07,0.28,0.28,0.82
AES,2014-05-08,0.27,0.24,-10.61
AES,2014-02-26,0.29,0.29,0.11
AES,2013-11-07,0.34,0.39,14.09
AES,2013-08-08,0.26,0.32,23.16
AES,2013-05-09,0.27,0.26,-3.49
AES,2013-02-27,0.3,0.32,6.21
AES,2012-11-07,0.35,0.36,3.15
AES,2012-08-06,0.27,0.18,-32.28
AES,2012-05-04,0.27,0.37,35.04
AES,2012-02-27,0.22,0.23,6.98
AES,2011-11-04,0.26,0.27,3.85
AES,2011-08-05,0.27,0.28,5.66
AES,2011-05-09,0.26,0.22,-16.19
AES,2011-02-28,0.25,0.23,-8.91
AES,2010-11-04,0.26,0.2,-23.08
AES,2010-08-06,0.21,0.23,7.48
AES,2010-05-07,0.25,0.26,4.0
AES,2010-02-26,0.19,0.22,18.92
AES,2009-11-06,0.26,0.28,6.33
AES,2009-08-07,0.2,0.28,41.41
AES,2009-05-08,0.21,0.37,74.12
AES,2009-02-26,0.24,0.18,-25.0
AES,2008-11-06,0.28,0.25,-11.97
AES,2008-08-08,0.3,0.17,-42.7
AES,2008-05-08,0.27,0.39,42.68
AES,2008-03-17,0.24,0.26,7.44
AES,2007-11-06,0.28,0.18,-36.47
AES,2007-08-09,0.21,0.26,25.8
AES,2007-06-21,0.3,0.27,-8.47
AES,2007-05-23,0.11,0.06,-42.86
AES,2006-11-06,0.21,0.27,27.06
AES,2006-08-07,0.17,0.29,75.76
AES,2006-05-08,0.21,0.42,101.92
AES,2006-04-04,0.19,0.28,46.08
AES,2006-01-19,0.28,0.35,26.81
AES,2005-05-05,0.17,0.17,-0.83
AES,2005-02-03,0.16,0.16,1.59
AES,2004-10-28,0.23,0.21,-8.7
AES,2004-07-29,0.1,0.15,50.0
AES,2004-04-28,0.14,0.17,24.39
AES,2004-02-05,-0.02,0.01,150.0
AES,2003-10-30,0.12,0.07,-40.0
AES,2003-07-30,0.1,0.11,12.82
AES,2003-05-01,0.06,0.13,103.13
AES,2002-10-24,0.17,0.17,1.71
AES,2002-07-25,0.21,0.26,26.39
AES,2002-04-25,0.26,0.36,39.65
AES,2002-02-05,0.29,0.28,-2.97
AES,2001-10-25,0.26,0.27,3.05
AES,2001-07-26,0.29,0.33,14.1
AES,2001-04-26,0.38,0.42,9.88
AES,2001-01-29,0.5,0.5,0.22
AES,2000-10-26,0.37,0.29,-21.62
