Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
AFL,2024-10-30,1.69,2.16,28.19
AFL,2024-07-31,1.6,1.83,14.45
AFL,2024-05-01,1.58,1.66,4.91
AFL,2024-01-31,1.45,1.25,-14.08
AFL,2023-11-01,1.49,1.84,23.31
AFL,2023-08-01,1.44,1.62,12.89
AFL,2023-04-26,1.4,1.55,10.9
AFL,2023-02-01,1.21,1.4,15.56
AFL,2022-10-31,1.21,1.15,-5.31
AFL,2022-08-01,1.28,1.46,13.7
AFL,2022-04-27,1.37,1.42,3.81
AFL,2022-02-02,1.27,1.28,0.98
AFL,2021-10-27,1.32,1.53,15.97
AFL,2021-07-28,1.27,1.59,24.83
AFL,2021-04-28,1.21,1.53,26.05
AFL,2021-02-03,1.05,1.07,2.21
AFL,2020-10-27,1.14,1.39,22.27
AFL,2020-07-28,1.07,1.28,20.09
AFL,2020-04-29,1.1,1.21,9.68
AFL,2020-02-04,1.02,1.03,0.98
AFL,2019-10-24,1.07,1.16,8.65
AFL,2019-07-25,1.07,1.13,5.54
AFL,2019-04-25,1.06,1.12,5.73
AFL,2019-01-31,0.94,1.02,8.11
AFL,2018-10-24,0.99,1.03,3.99
AFL,2018-07-26,0.99,1.06,6.87
AFL,2018-04-25,0.97,1.02,4.87
AFL,2018-01-31,0.78,0.82,5.01
AFL,2017-10-25,0.82,0.85,4.29
AFL,2017-07-27,0.83,0.92,10.19
AFL,2017-04-27,0.81,0.84,3.41
AFL,2017-01-31,0.81,0.73,-10.28
AFL,2016-10-27,0.87,0.91,4.45
AFL,2016-07-28,0.84,0.86,1.6
AFL,2016-04-26,0.81,0.87,6.43
AFL,2016-02-01,0.74,0.78,5.84
AFL,2015-10-27,0.74,0.78,5.32
AFL,2015-07-28,0.76,0.75,-1.46
AFL,2015-02-03,0.64,0.65,0.42
AFL,2014-10-28,0.71,0.76,5.71
AFL,2014-07-29,0.8,0.83,4.25
AFL,2014-04-29,0.79,0.85,6.83
AFL,2014-02-04,0.69,0.7,0.95
AFL,2013-10-29,0.74,0.74,-0.39
AFL,2013-07-30,0.76,0.81,7.2
AFL,2013-04-24,0.81,0.85,4.21
AFL,2013-02-05,0.74,0.74,0.25
AFL,2012-10-23,0.83,0.89,6.56
AFL,2012-07-24,0.8,0.81,0.16
AFL,2012-04-24,0.82,0.83,0.08
AFL,2012-01-31,0.75,0.74,-1.86
AFL,2011-10-26,0.8,0.83,3.53
AFL,2011-07-27,0.77,0.78,1.17
AFL,2011-04-27,0.76,0.82,7.4
AFL,2011-02-01,0.68,0.67,-1.54
AFL,2010-10-26,0.7,0.73,4.04
AFL,2010-07-27,0.67,0.68,1.5
AFL,2010-04-27,0.66,0.71,6.82
AFL,2010-02-02,0.58,0.59,2.5
AFL,2009-10-28,0.6,0.63,4.01
AFL,2009-07-29,0.57,0.6,5.08
AFL,2009-04-29,0.58,0.61,5.57
AFL,2009-02-02,0.5,0.49,-2.0
AFL,2008-10-23,0.5,0.51,2.27
AFL,2008-07-23,0.5,0.51,0.47
AFL,2008-04-23,0.48,0.49,2.2
AFL,2008-01-30,0.4,0.39,-2.43
AFL,2007-10-23,0.41,0.43,3.66
AFL,2007-07-24,0.41,0.41,0.87
AFL,2007-04-24,0.4,0.41,3.73
AFL,2007-01-30,0.33,0.33,-1.28
AFL,2006-10-24,0.36,0.36,0.49
AFL,2006-07-25,0.35,0.38,5.71
AFL,2006-04-25,0.35,0.36,3.64
AFL,2006-01-30,0.31,0.3,-6.13
AFL,2005-10-24,0.32,0.33,3.37
AFL,2005-07-26,0.32,0.32,0.45
AFL,2005-04-26,0.31,0.33,5.29
AFL,2005-01-31,0.29,0.3,1.39
AFL,2004-10-26,0.29,0.29,1.05
AFL,2004-07-27,0.28,0.28,0.09
AFL,2004-04-27,0.27,0.28,5.56
AFL,2003-10-22,0.23,0.24,1.82
AFL,2003-07-23,0.23,0.23,1.63
AFL,2003-04-23,0.22,0.23,5.63
AFL,2003-01-30,0.21,0.21,1.85
AFL,2002-10-22,0.2,0.2,0.84
AFL,2002-07-23,0.19,0.19,2.43
AFL,2002-04-23,0.18,0.18,2.44
AFL,2002-01-31,0.17,0.17,-0.28
AFL,2001-10-24,0.17,0.17,1.73
AFL,2001-07-24,0.16,0.17,0.48
AFL,2001-04-24,0.16,0.17,2.06
AFL,2001-01-29,0.15,0.16,0.38
