Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
AMD,2024-10-29,0.92,0.92,0.55
AMD,2024-07-30,0.68,0.69,2.04
AMD,2024-04-30,0.61,0.62,1.75
AMD,2024-01-30,0.77,0.77,-0.32
AMD,2023-10-31,0.68,0.7,3.44
AMD,2023-08-01,0.57,0.58,1.49
AMD,2023-05-02,0.56,0.6,6.36
AMD,2023-01-31,0.67,0.69,3.28
AMD,2022-11-01,0.68,0.67,-2.15
AMD,2022-08-02,1.03,1.05,1.62
AMD,2022-05-03,0.91,1.13,24.18
AMD,2022-02-01,0.76,0.92,21.36
AMD,2021-10-26,0.67,0.73,9.02
AMD,2021-07-27,0.54,0.63,16.0
AMD,2021-04-27,0.44,0.52,18.15
AMD,2021-01-26,0.47,0.52,10.41
AMD,2020-10-27,0.36,0.41,15.06
AMD,2020-07-28,0.16,0.18,10.09
AMD,2020-04-28,0.18,0.18,0.09
AMD,2020-01-28,0.31,0.32,4.37
AMD,2019-10-29,0.18,0.18,-1.69
AMD,2019-07-30,0.08,0.08,3.9
AMD,2019-04-30,0.05,0.06,16.75
AMD,2019-01-29,0.08,0.08,-2.39
AMD,2018-10-24,0.12,0.13,4.56
AMD,2018-07-25,0.13,0.14,11.64
AMD,2018-04-25,0.09,0.11,23.94
AMD,2018-01-30,0.05,0.08,62.5
AMD,2017-10-24,0.08,0.1,32.28
AMD,2017-07-25,,0.02,7792.31
AMD,2017-05-01,-0.04,-0.04,3.66
AMD,2017-01-31,-0.02,-0.01,35.73
AMD,2016-10-20,,0.03,671.21
AMD,2016-07-21,-0.08,-0.05,40.0
AMD,2016-04-21,-0.13,-0.12,6.09
AMD,2016-01-19,-0.1,-0.1,1.31
AMD,2015-10-15,-0.12,-0.17,-46.67
AMD,2015-07-16,-0.17,-0.17,-2.48
AMD,2015-04-16,-0.05,-0.09,-73.08
AMD,2015-01-20,0.01,,-100.0
AMD,2014-10-16,0.04,0.03,-29.25
AMD,2014-07-17,0.03,0.02,-20.79
AMD,2014-04-17,,0.02,400.0
AMD,2014-01-21,0.05,0.06,14.29
AMD,2013-10-17,0.02,0.04,86.57
AMD,2013-07-18,-0.12,-0.09,27.8
AMD,2013-04-18,-0.18,-0.13,25.92
AMD,2013-01-22,-0.2,-0.14,30.66
AMD,2012-10-18,-0.15,-0.2,-32.29
AMD,2012-07-19,0.07,0.06,-14.32
AMD,2012-04-19,0.09,0.12,27.27
AMD,2012-01-24,0.16,0.19,19.58
AMD,2011-10-27,0.1,0.15,49.69
AMD,2011-07-21,0.08,0.09,15.7
AMD,2011-04-21,0.05,0.08,50.72
AMD,2011-01-20,0.11,0.14,26.32
AMD,2010-10-14,0.06,0.15,137.34
AMD,2010-07-15,0.06,0.11,76.28
AMD,2010-04-15,-0.04,0.09,300.0
AMD,2010-01-21,-0.18,1.52,967.28
AMD,2009-10-15,-0.42,-0.18,57.02
AMD,2009-07-21,-0.47,-0.49,-4.18
AMD,2009-04-21,-0.66,-0.66,0.62
AMD,2009-01-22,-0.54,-0.69,-27.61
AMD,2008-10-16,-0.4,0.13,132.31
AMD,2008-07-17,-0.52,-0.6,-15.63
AMD,2008-04-17,-0.51,-0.51,-0.07
AMD,2008-01-17,-0.36,-0.17,52.83
AMD,2007-10-18,-0.62,-0.49,20.92
AMD,2007-07-19,-0.85,-0.95,-12.19
AMD,2007-04-19,-0.48,-0.9,-86.07
AMD,2007-01-23,0.1,-0.04,-140.63
AMD,2006-10-18,0.24,0.27,14.08
AMD,2006-07-20,0.22,0.18,-16.79
AMD,2006-04-12,0.29,0.38,29.55
AMD,2006-01-18,0.26,0.45,75.1
AMD,2005-10-11,0.08,0.18,113.07
AMD,2005-07-13,-0.05,0.03,156.13
AMD,2005-04-13,0.02,-0.04,-279.69
AMD,2005-01-18,0.08,0.05,-36.71
AMD,2004-10-07,0.12,0.12,-1.82
AMD,2004-07-14,0.09,0.09,-3.82
AMD,2004-04-14,0.04,0.12,242.86
AMD,2004-01-20,0.04,0.12,223.1
AMD,2003-10-16,-0.36,-0.09,75.29
AMD,2003-07-16,-0.53,-0.4,24.23
AMD,2003-04-16,-0.48,-0.42,13.13
AMD,2003-01-16,-0.42,-0.68,-60.57
AMD,2002-10-16,-0.67,-0.74,-10.63
AMD,2002-07-17,-0.45,-0.54,-20.89
AMD,2002-04-17,-0.06,-0.03,50.0
AMD,2002-01-16,-0.18,-0.05,72.31
AMD,2001-10-17,-0.28,-0.28,1.6
AMD,2001-07-12,0.04,0.05,27.45
AMD,2001-04-18,0.33,0.37,11.34
AMD,2001-01-17,0.55,0.53,-3.17
