Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
AOS,2024-10-22,0.83,0.82,-1.32
AOS,2024-10-11,0.83,0.82,-1.2
AOS,2024-07-23,1.06,1.06,-0.03
AOS,2024-04-25,0.98,1.0,1.97
AOS,2024-01-30,0.96,0.97,1.43
AOS,2023-10-26,0.8,0.9,13.05
AOS,2023-07-27,0.91,1.01,11.37
AOS,2023-04-27,0.78,0.94,21.02
AOS,2023-01-31,0.79,0.86,9.04
AOS,2022-10-27,0.69,0.69,-0.31
AOS,2022-07-28,0.81,0.82,1.65
AOS,2022-04-28,0.75,0.77,3.11
AOS,2022-01-27,0.77,0.87,13.21
AOS,2021-10-28,0.68,0.79,16.22
AOS,2021-07-29,0.65,0.73,12.24
AOS,2021-04-29,0.57,0.6,5.31
AOS,2021-01-28,0.59,0.74,26.5
AOS,2020-10-29,0.52,0.66,27.74
AOS,2020-07-30,0.42,0.45,7.27
AOS,2020-05-05,0.34,0.32,-5.84
AOS,2020-01-28,0.59,0.56,-5.81
AOS,2019-10-29,0.53,0.53,-0.21
AOS,2019-07-30,0.63,0.61,-3.05
AOS,2019-04-30,0.57,0.53,-7.02
AOS,2019-01-29,0.71,0.74,4.9
AOS,2018-10-30,0.63,0.61,-3.03
AOS,2018-07-25,0.62,0.66,6.45
AOS,2018-04-25,0.58,0.6,4.05
AOS,2018-01-30,0.56,0.6,6.55
AOS,2017-10-25,0.53,0.54,1.57
AOS,2017-07-26,0.53,0.53,0.44
AOS,2017-04-27,0.47,0.5,6.57
AOS,2017-02-02,0.46,0.47,2.17
AOS,2016-10-26,0.45,0.47,4.44
AOS,2016-07-26,0.45,0.49,8.63
AOS,2016-04-27,0.38,0.42,8.67
AOS,2016-01-29,0.42,0.45,7.34
AOS,2015-10-21,0.39,0.41,3.91
AOS,2015-07-23,0.33,0.4,20.03
AOS,2015-04-24,0.31,0.33,4.42
AOS,2015-01-27,0.3,0.32,5.11
AOS,2014-10-21,0.28,0.3,4.34
AOS,2014-07-22,0.3,0.33,9.5
AOS,2014-04-22,0.26,0.27,2.41
AOS,2014-01-28,0.26,0.26,1.56
AOS,2013-10-21,0.22,0.27,24.01
AOS,2013-07-24,0.21,0.26,21.14
AOS,2013-04-23,0.19,0.24,24.38
AOS,2013-01-24,0.2,0.23,12.25
AOS,2012-10-17,0.17,0.18,4.65
AOS,2012-07-18,0.17,0.19,12.36
AOS,2012-04-20,0.15,0.17,8.03
AOS,2012-01-27,0.16,0.17,8.12
AOS,2011-10-21,0.12,0.1,-16.67
AOS,2011-07-19,0.13,0.13,1.24
AOS,2011-04-19,0.12,0.13,10.35
AOS,2011-01-25,0.14,0.17,27.51
AOS,2010-10-19,0.15,0.17,12.52
AOS,2010-07-20,0.14,0.2,45.67
AOS,2010-04-20,0.16,0.17,3.41
AOS,2010-01-26,0.1,0.12,29.44
AOS,2009-10-16,0.11,0.17,44.18
AOS,2009-07-17,0.09,0.13,44.52
AOS,2009-04-17,0.07,0.05,-18.99
AOS,2009-01-22,0.05,0.05,5.45
AOS,2008-10-16,0.09,0.13,34.41
AOS,2008-07-17,0.13,0.18,35.2
AOS,2008-04-17,0.11,0.14,23.36
AOS,2008-01-23,0.11,0.09,-14.06
AOS,2007-10-16,0.12,0.13,11.53
AOS,2007-07-18,0.12,0.14,19.45
AOS,2007-04-18,0.1,0.11,3.0
AOS,2007-01-22,0.08,0.1,24.4
AOS,2006-10-17,0.09,0.09,4.52
AOS,2006-07-19,0.1,0.12,14.75
AOS,2006-04-18,0.09,0.1,11.99
AOS,2006-01-20,0.08,0.1,32.91
AOS,2005-10-14,0.05,0.07,21.88
AOS,2005-07-15,0.08,0.08,4.81
AOS,2005-04-15,0.05,0.08,58.67
AOS,2005-01-21,0.01,0.03,92.31
AOS,2004-10-14,,0.02,1908.43
AOS,2004-07-15,0.09,0.09,1.39
AOS,2004-04-15,0.06,0.06,-0.55
AOS,2004-01-21,0.08,0.07,-7.69
AOS,2003-10-14,0.03,0.03,8.11
AOS,2003-07-15,0.11,0.11,2.55
AOS,2003-04-15,0.07,0.08,6.98
AOS,2003-01-21,0.06,0.06,13.43
AOS,2002-10-14,0.05,0.06,11.49
AOS,2002-07-12,0.08,0.11,36.09
AOS,2002-04-12,0.06,0.08,33.33
AOS,2002-01-23,,0.01,299.4
AOS,2001-10-17,,,301.2
AOS,2001-07-17,0.08,0.08,-3.23
AOS,2001-04-12,0.06,0.06,4.35
AOS,2001-01-22,0.02,0.02,15.79
