Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
A,2024-08-21,1.26,1.32,5.01
A,2024-05-29,1.19,1.22,2.34
A,2024-02-27,1.22,1.29,5.45
A,2023-11-20,1.34,1.38,2.86
A,2023-08-15,1.36,1.43,4.8
A,2023-05-23,1.26,1.27,0.62
A,2023-02-28,1.3,1.37,5.04
A,2022-11-21,1.39,1.53,10.38
A,2022-08-16,1.2,1.34,11.75
A,2022-05-24,1.12,1.13,0.87
A,2022-02-22,1.18,1.21,2.87
A,2021-11-22,1.17,1.21,2.98
A,2021-08-17,0.99,1.1,10.9
A,2021-05-25,0.83,0.97,17.34
A,2021-02-16,0.89,1.06,18.63
A,2020-11-23,0.93,0.98,5.54
A,2020-08-18,0.66,0.78,17.73
A,2020-05-21,0.61,0.71,17.16
A,2020-02-18,0.81,0.81,0.1
A,2019-11-25,0.85,0.89,4.14
A,2019-08-14,0.72,0.76,5.17
A,2019-05-14,0.72,0.71,-0.75
A,2019-02-20,0.73,0.76,4.02
A,2018-11-19,0.74,0.81,10.07
A,2018-08-14,0.63,0.67,6.81
A,2018-05-14,0.64,0.65,1.19
A,2018-02-14,0.58,0.66,13.79
A,2017-11-20,0.62,0.67,7.32
A,2017-08-15,0.52,0.59,13.1
A,2017-05-22,0.48,0.58,19.94
A,2017-02-14,0.49,0.53,8.16
A,2016-11-15,0.52,0.59,13.31
A,2016-08-17,0.47,0.49,4.6
A,2016-05-16,0.39,0.44,13.01
A,2016-02-16,0.43,0.46,6.36
A,2015-11-16,0.47,0.5,5.82
A,2015-08-17,0.41,0.44,8.2
A,2015-05-18,0.39,0.38,-1.46
A,2015-02-17,0.41,0.41,-0.52
A,2014-11-17,0.89,0.88,-0.92
A,2014-08-14,0.74,0.78,5.7
A,2014-05-14,0.73,0.72,-0.78
A,2014-02-13,0.66,0.67,1.41
A,2013-11-14,0.76,0.81,6.61
A,2013-08-14,0.62,0.68,9.51
A,2013-05-14,0.67,0.77,15.5
A,2013-02-14,0.67,0.63,-5.62
A,2012-11-19,0.8,0.86,7.55
A,2012-08-15,0.83,0.79,-4.66
A,2012-05-14,0.73,0.78,6.76
A,2012-02-15,0.69,0.69,0.29
A,2011-11-15,0.81,0.84,4.25
A,2011-08-15,0.73,0.77,5.59
A,2011-05-13,0.65,0.74,14.28
A,2011-02-14,0.57,0.6,4.35
A,2010-11-12,0.6,0.65,8.23
A,2010-08-16,0.48,0.54,13.16
A,2010-05-17,0.41,0.43,3.93
A,2010-02-12,0.32,0.38,18.5
A,2009-11-13,0.23,0.32,37.4
A,2009-08-17,0.11,0.15,41.0
A,2009-05-14,0.13,0.13,2.02
A,2009-02-17,0.28,0.2,-29.29
A,2008-11-14,0.59,0.62,5.31
A,2008-08-14,0.54,0.53,-2.11
A,2008-05-14,0.48,0.51,5.93
A,2008-02-13,0.41,0.42,2.13
A,2007-11-15,0.52,0.53,2.17
A,2007-08-14,0.49,0.48,-1.03
A,2007-05-14,0.44,0.43,-2.27
A,2007-02-15,0.39,0.39,1.11
A,2006-11-14,0.54,0.52,-2.8
A,2006-08-14,0.42,0.46,9.0
A,2006-05-15,0.37,0.4,7.62
A,2006-02-13,0.3,0.32,6.67
A,2005-11-14,0.37,0.38,2.67
A,2005-08-15,0.26,0.28,7.69
A,2005-02-14,0.19,0.2,6.95
A,2004-11-11,0.31,0.3,-2.28
A,2004-08-12,0.28,0.3,9.09
A,2004-05-17,0.24,0.24,0.84
A,2004-02-17,0.22,0.21,-4.11
A,2003-11-17,0.05,0.15,177.78
A,2003-08-18,-0.07,-0.02,70.27
A,2003-05-19,-0.15,-0.15,0.66
A,2003-02-21,-0.25,-0.23,9.8
A,2002-11-18,-0.12,,100.0
A,2002-08-19,-0.15,-0.31,-106.67
A,2002-05-16,-0.23,-0.31,-34.05
A,2002-02-19,-0.43,-0.29,32.89
A,2001-11-15,-0.58,-0.6,-3.55
A,2001-08-20,-0.35,-0.24,31.15
A,2001-05-17,0.26,0.11,-57.58
A,2001-02-20,0.45,0.51,13.56
A,2000-11-20,0.54,0.73,36.31
