gvkey,datadate,lev,roa,btm,retvol,ch_price,std_income,default,ln_mve,ln_cds
000001,6/30/2009,1.493158725,0.012728807,-2.4522077,0.515909788,-2.44,360.0540461,1,6.326525753,7.682319251
000002,12/31/2008,0.84497389,-0.225195822,1.39853963,0.250739947,-6.4,78.27771901,1,5.827886233,8.261558964
000003,6/30/2005,0.731182796,0.002882164,1.016758222,0.108724978,-4.59,86.73448595,1,7.72186877,6.078446975
000004,6/30/2005,1.311163675,-0.017717175,-13.04930961,0.277009852,-3.36,659.1477332,1,6.282785042,8.673987195
000005,9/30/2011,1.323206586,-0.041944336,-7.838501237,0.291791377,-3.4199,284.2119113,1,5.350088797,8.17952777
000006,12/31/2008,1.073815544,-0.027380822,-3.154580979,0.259928011,-4.44,2666.562648,1,8.610241741,8.727697761
000007,3/31/2009,2.100012152,-0.072609066,-76.95336217,0.174991502,-17.11,9920.485548,1,7.076974457,9.624355886
000008,8/31/2010,1.268638642,-0.056174715,-4.770631102,0.206605733,-3.67,187.3028326,1,5.142196748,5.989968921
000009,6/30/2005,1.248258082,-0.015746934,-9.642573892,0.172088212,-6.56,233.069653,1,5.987039571,8.405462055
000010,9/30/2008,1.015849772,-0.246102162,-0.957548664,0.21934189,-14.74,559.4352206,1,7.015984987,7.343830453
000011,9/30/2005,0.704453413,-0.014043026,2.233565908,0.155376022,-3.51,27.64852486,1,5.777879913,6.211284398
000012,12/31/2007,0.847774384,-0.04297633,-1.30662904,0.144440289,-3.21,103.1190178,1,5.264435815,7.455250611
000012,3/31/2009,0.931911183,-0.047133887,-19.86086726,0.255097006,-1.37,119.9443787,1,3.273335601,8.84234362
000013,12/31/2004,0.836831716,-0.121580886,0.563907984,0.204168544,-5.4,72.98141255,1,6.47213669,7.246570769
000014,9/30/2009,1.068748794,-0.052143506,-0.85136827,0.540911313,-7.51,254.4564481,1,5.57951886,8.726343384
000015,9/30/2002,0.479790908,0.006760512,2.415757906,0.18686396,-12.11,84.08925868,1,7.402975896,6.888488832
000016,6/30/2008,0.701847975,-0.012566071,1.192371077,0.193561646,-25.18,48.24224836,1,6.869001394,6.420152005
000017,9/30/2004,1.021501014,-0.023123732,-0.089832702,0.165686763,-2.83,792.8700298,1,7.478710413,7.582459255
000018,3/31/2009,0.990075532,-0.010971797,0.838526358,0.225154992,-10.21,437.3189143,1,3.706080907,8.799077398
000019,3/31/2009,1.00642967,-0.041125037,-1.537727208,0.309097517,-25.16,297.4188708,1,4.062815195,8.916988596
000020,3/31/2007,1.220688362,-0.010977423,-1.748860823,0.358468473,1.475,124.328017,1,4.965352218,6.687489368
000021,9/30/2004,0.892889542,-0.017392936,0.973249239,0.147822528,0.8,15.94440157,1,5.856354767,6.666473201
000022,6/30/2006,0.879044019,-0.065420234,7.196139911,0.110809651,-2.41,8.329218955,1,3.565311971,6.568780738
000023,9/30/2005,0.847418457,-0.008949826,2.529307363,0.300700937,-0.31,146.2334635,1,7.296209438,8.329109242
000024,9/30/2003,1.129292221,-0.060616678,-0.88480978,0.730768595,-1.23,48.18287532,1,6.033179239,7.224481049
000025,6/30/2007,0.781290225,-0.046225486,2.313198695,0.185854516,-10.17,70.59532718,1,5.52042342,6.590700333
000026,6/30/2005,1.266004482,-0.020471201,-1.74563591,0.171678276,-6.03,1107.640616,1,7.867300884,6.866771214
000027,6/30/2006,1.194607621,-0.063548059,-3.164393174,0.172203121,-0.66,191.7615169,1,4.671744134,6.618299731
000028,6/30/2005,1.261517373,-0.021395792,-14.17657837,0.134705854,-2.73,630.2680513,1,5.885796706,7.674649932
000029,12/31/2008,1.11871189,-0.065929878,-19.34569248,0.277775091,-4.04,547.5433076,1,3.825375199,9.451130138
000030,3/31/2008,0.858655643,-0.032588061,2.382828317,0.293426592,-17.99,113.4472624,1,4.950621985,4.605252885
000031,12/31/2004,1.020192542,-0.013450109,-0.329242229,0.171253012,-2,398.4228744,0,7.475712296,7.466068632
000031,3/31/2005,1.02389687,-0.005554222,-0.403619722,0.174212522,-2.03,384.7365298,0,7.454067538,7.56112897
000031,6/30/2005,1.020851699,0.001966502,-0.310227034,0.184436313,0,376.2467136,0,7.592073151,7.67570067
000031,3/31/2007,0.992437425,0.002710481,0.030849304,0.127999917,3.4,342.4143227,0,8.899176078,6.856508826
000031,9/30/2007,0.972026082,0.005912362,0.149110486,0.129144435,-0.85,355.8679678,0,8.622080884,6.527686982
000031,12/31/2007,0.907003605,-0.002415036,0.759348111,0.139730586,-16.2,318.4195966,0,8.160247908,6.805530979
000032,3/31/2003,0.693234696,0.002301905,0.885412286,0.087924003,-12.11,41.93482035,0,8.017400797,5.301912063
000032,6/30/2003,0.698205348,0.005726564,0.800804201,0.095550256,-2.05,42.63209104,0,8.136839813,4.785938355
000032,9/30/2003,0.692371642,0.011923801,0.865169411,0.069097048,7.74,42.6223252,0,8.083409624,4.407879529
000032,12/31/2003,0.703264803,0.004724121,0.774571909,0.062725011,5.93,41.24409135,0,8.203398673,3.926501338
000032,3/31/2004,0.695970472,0.003274636,0.792883036,0.05203104,6.11,41.00355274,0,8.187292775,4.187745727
000032,6/30/2004,0.702877588,0.00757957,0.784787924,0.035861335,2.94,41.04918802,0,8.21293015,4.278867137
000032,9/30/2004,0.701356468,0.010466835,0.783306993,0.026608702,6,41.07927239,0,8.242818975,4.188555415
000032,12/31/2004,0.701902453,0.003811353,0.723703267,0.01986809,4.39,39.73254154,0,8.313000711,3.905682327
000032,3/31/2005,0.701210137,0.002954814,0.715891724,0.026415191,3.16,39.96011055,0,8.338271887,3.772153819
000032,6/30/2005,0.696969488,0.007928907,0.740884395,0.028757877,4.06,40.69366247,0,8.387067752,3.749508291
000032,12/31/2006,0.699185305,0.000918824,0.680120238,0.044540877,9.34,45.71759819,0,8.530488754,3.707045239
000032,3/31/2007,0.686716734,0.00149551,0.713981408,0.04053568,9.15,46.82213235,0,8.482715353,3.731400959
000032,6/30/2007,0.693856148,0.007086302,0.856540624,0.062831678,-0.06,47.85153355,0,8.293188394,3.660210438
000032,9/30/2007,0.686858158,0.017424966,0.899903126,0.057559671,-5.54,48.01940855,0,8.285387272,3.627690388
000033,3/31/2002,0.585087589,0.037524748,0.115068815,0.067126389,5.41,199.693662,0,11.31555073,2.854063336
000033,6/30/2002,0.571042698,0.025691338,0.168136106,0.088609236,-10.35,210.0406461,0,10.98213915,2.845184765
000033,9/30/2002,0.554225919,0.030432806,0.167079545,0.083552786,-11.45,209.6621437,0,11.05289841,3.483265623
000033,12/31/2002,0.560389622,0.02585038,0.170570842,0.08682804,-15.75,210.2563181,0,11.04328529,3.156402792
000033,3/31/2003,0.54299727,0.029492963,0.193694313,0.088046983,-14.99,210.3008114,0,10.98033139,2.877104055
000033,6/30/2003,0.540654936,0.006919161,0.173928765,0.065206071,6.11,212.5514138,0,11.13280094,2.685558152
000033,9/30/2003,0.546362386,0.026667221,0.178362409,0.067464429,2.15,232.7416273,0,11.10526801,2.722273114
000033,12/31/2003,0.510683487,0.033473126,0.179301585,0.06082378,6.6,233.7928754,0,11.19693361,2.873101078
000033,3/31/2004,0.518344505,0.027172315,0.210787462,0.060268001,3.49,243.4229352,0,11.06824151,3.101750876
000033,6/30/2004,0.536741236,0.022931223,0.201560739,0.052497704,-3,245.6206963,0,11.0608837,3.04012066
000033,9/30/2004,0.529994276,0.029171108,0.196379006,0.043633882,-0.19,245.552593,0,11.09697243,2.950129185
000033,12/31/2004,0.502014913,0.03387869,0.19685001,0.051614107,0.05,246.9513473,0,11.19512941,2.844518964
000033,3/31/2005,0.508700043,0.029035651,0.19611351,0.043625137,5.52,259.0054165,0,11.18847652,2.683066015
000033,6/30/2005,0.482985193,0.031529111,0.188783762,0.04182363,8.25,262.5525712,0,11.24087955,2.581471164
000033,9/30/2005,0.505287667,0.023610349,0.216855447,0.047758963,0.04,267.4508171,0,11.09395052,2.33446589
000033,12/31/2005,0.505330271,0.033506372,0.237515034,0.05122685,-7.22,267.5001488,0,11.01356777,2.607799406
000033,3/31/2006,0.493817535,0.030313268,0.222809217,0.060956731,-4.15,276.1641041,0,11.07934535,2.708342902
000033,6/30/2006,0.554170842,0.017974786,0.227915932,0.05800797,-5.4,182.0377034,0,11.10687513,2.706405673
000033,9/30/2006,0.530526694,0.021496839,0.20975141,0.059514539,6.16,178.2532852,0,11.2189972,2.292499512
000033,12/31/2006,0.611528576,-0.01316302,0.187691689,0.043793775,9.28,176.8286637,0,11.22363018,2.02426411
000033,3/31/2007,0.605382384,0.019223247,0.166594452,0.038423618,13.33,322.9691087,0,11.3615453,2.176081164
000033,6/30/2007,0.587272592,0.026612604,0.185286815,0.04433828,9.94,320.3615421,0,11.32368815,2.401525403
000033,6/30/2010,0.6254382,0.024196629,0.275672133,0.046929669,-0.26,447.2333112,0,11.18760627,4.063359048
000033,9/30/2011,0.585951246,0.005084526,0.308838106,0.04592365,-1.1,490.968164,0,11.28559425,3.800067386
000033,3/31/2012,0.590753726,0.005627021,0.263951545,0.037232196,12.24,380.5080588,0,11.47660577,4.06154397
000033,12/31/2012,0.601200947,-0.007763478,0.258744302,0.035696895,9.27,467.2215593,0,11.54511855,4.010445757
000033,3/31/2013,0.468609163,0.012759527,0.410253367,0.034517261,-25.97,591.2946898,0,10.91616265,3.933988999
000034,9/30/2002,0.712282923,-0.019446454,0.662416851,0.087593289,0.67,83.66189789,0,8.453273146,5.827662008
000034,12/31/2002,0.711279846,0.002287073,0.578205801,0.10232797,0.5,100.941085,0,8.58245645,5.718667446
000034,6/30/2003,0.681641006,0.014227246,0.822410148,0.092679649,-5.42,106.6111972,0,8.23853693,5.619337947
000034,9/30/2003,0.686237993,-0.0068614,0.729766015,0.085346986,-1.18,109.5423374,0,8.335959043,5.735064533
000034,12/31/2003,0.701816397,-0.007658321,0.628999737,0.073645083,-1.76,110.4003599,0,8.425691749,5.547932737
000034,3/31/2005,0.718054577,-0.005437519,1.088474026,0.093076303,-3.73,125.2016899,0,7.809541325,5.834006276
000034,6/30/2005,0.719593909,-0.004974619,1.0997336,0.097920291,-3.69,126.1241139,0,7.784223517,6.046905704
000034,9/30/2005,0.713461337,0.009967475,1.287229901,0.097550407,-3.28,126.4953817,0,7.627933799,6.004642153
000034,6/30/2006,0.674406671,0.020141116,1.857444881,0.148023405,-2.45,144.6962244,0,7.188714806,6.186730383
000034,9/30/2006,0.682976555,-0.006116208,1.981457171,0.148058285,-1.9,141.4671619,0,7.105622047,6.302917832
000034,12/31/2006,0.683245416,-0.002763125,1.863028276,0.116196896,-1.67,140.6590783,0,7.182048114,6.347989904
000034,3/31/2007,0.692493947,-0.008920607,1.646668549,0.134323461,-1.61,140.6616321,0,7.256156086,6.111362962
000034,6/30/2007,0.677821012,0.01919585,1.758257819,0.12277014,0.1,140.8972283,0,7.221397453,6.423857525
000035,6/30/2005,0.530032826,0.001456277,0.414208007,0.181067754,1.44,247.4626055,0,8.835270738,6.053000385
000035,6/30/2006,0.364952657,0.01102061,0.409243188,0.167519812,7.08,214.8172134,0,9.380713571,5.106332669
000035,9/30/2006,0.369321266,0.016046197,0.414087002,0.186088551,-0.35,216.8639266,0,9.401368252,5.621286268
000035,12/31/2006,0.537917396,-0.043646916,0.519698692,0.178787487,-10.25,219.0556652,0,9.317529714,5.481774289
000035,3/31/2007,0.566708622,-0.043266205,0.724627593,0.141132769,-20.1,248.5060991,0,8.879472402,5.784790618
000035,6/30/2007,0.639745917,-0.040154265,0.565510439,0.139606941,-10.12,269.5733567,0,8.975617539,6.113338231
000035,9/30/2007,0.657259935,-0.034714705,0.563063063,0.085505439,-11.65,285.8345213,0,8.899184943,6.519874255
000035,12/31/2007,0.718181818,-0.112380952,0.657865787,0.111667752,-12.85,293.901032,0,8.421783007,6.709059658
000035,12/31/2008,0.988664495,-0.185798046,-0.062336557,0.23137755,-5.34,383.6867459,0,7.181926489,8.090297281
000035,3/31/2009,0.897702165,-0.045072912,-0.080123872,0.265202567,-2.84,468.774594,0,7.617931637,8.064795025
000035,6/30/2009,0.928596107,-0.035701946,-0.179872813,0.278692088,-1.96,464.2254951,0,7.857542681,7.657230584
000035,9/30/2009,0.941922945,-0.012118441,-0.150044829,0.237649213,0.41,458.3136761,0,8.240701605,7.211806968
000035,12/31/2009,0.810090328,0.132518176,0.099764752,0.22917382,7.52,453.6167,0,8.778831038,6.652214646
000035,3/31/2010,0.847859327,0.049120795,0.127780346,0.236582916,6.22,563.6063876,0,8.73704172,6.463957986
000035,6/30/2010,0.848234107,-0.008678103,0.152421722,0.237618244,3.45,572.698501,0,8.503840439,6.487736163
000035,9/30/2010,0.866376496,-0.025680087,0.126809462,0.247930716,1.45,571.6166065,0,8.48506455,6.429526883
000036,6/30/2005,0.744689968,0.003060537,0.498473216,0.079972125,11.28,5473.569634,0,9.032116515,4.427913856
000036,9/30/2005,0.724039653,0.016047088,0.53453195,0.071156881,8.66,5475.052915,0,9.027921622,4.121764106
000037,6/30/2002,0.556826322,0.017155345,0.31982022,0.070905732,4.72,78.05904833,0,9.307263106,3.433282093
000037,9/30/2002,0.570947616,0.016986463,0.376921258,0.076258949,3.43,78.49288,0,9.124858446,3.570048446
000037,12/31/2002,0.562615982,0.014834196,0.384632809,0.064897091,-4.16,79.01438826,0,9.144682905,3.520105018
000037,3/31/2003,0.563433173,0.012849516,0.405359635,0.065574096,-10.22,78.16744022,0,9.114979285,3.411863957
000037,9/30/2003,0.579024375,0.013920843,0.378771857,0.054288669,3.09,79.48784929,0,9.208961662,2.956763496
000037,12/31/2003,0.573059081,0.013467394,0.338111471,0.059605152,10.08,79.56241162,0,9.374044683,2.847724177
000037,3/31/2004,0.565671267,0.014173149,0.368711935,0.05678855,8.69,79.67189477,0,9.326432186,3.084488532
000037,6/30/2004,0.556092649,0.016414904,0.360004904,0.055218417,10.85,80.22798173,0,9.375276058,3.143771552
000037,9/30/2004,0.540566113,0.016742361,0.36195868,0.044714189,9.28,81.42211648,0,9.415535367,3.01772805
000037,12/31/2004,0.537743819,0.015656973,0.36014793,0.039149334,5.14,82.60505194,0,9.485201591,2.798689143
000037,3/31/2005,0.524044344,0.016372008,0.338503658,0.03128766,13.17,82.59172429,0,9.582269966,2.892956412
000037,6/30/2005,0.535005529,0.017536713,0.342843811,0.039149838,7.85,82.30416693,0,9.507525774,3.170588534
000037,9/30/2005,0.54302129,0.017734993,0.37395251,0.044970585,0.76,39.1653482,0,9.412097729,3.052757341
000037,12/31/2005,0.539826257,0.017110749,0.357798441,0.040638566,1.22,36.05509527,0,9.484973843,3.072132553
000037,3/31/2006,0.532345343,0.017811013,0.330440674,0.041950722,3.9,37.5357023,0,9.618040376,3.017734401
000037,6/30/2006,0.537871541,0.018289227,0.356713767,0.03914891,3.62,38.32084049,0,9.55729162,2.978100496
000037,9/30/2006,0.543677945,0.014623414,0.341495073,0.029749926,11.23,40.78909136,0,9.576298514,2.863693252
000037,12/31/2006,0.539104348,0.019217391,0.336018381,0.031020426,11.09,39.64571889,0,9.629837597,2.670544906
000037,3/31/2007,0.54075602,0.018252231,0.329399298,0.03077709,6.77,41.78082411,0,9.681502869,2.676832039
000037,6/30/2007,0.551882439,0.021919356,0.314198256,0.022854802,16.45,43.41059627,0,9.762257286,2.937776886
000037,9/30/2007,0.551885935,0.026019985,0.26103392,0.031161503,31.39,50.32349326,0,9.954807968,3.181679108
000037,12/31/2007,0.555373704,0.020154753,0.264903419,0.031854111,28.35,61.84648567,0,9.959447423,3.444896155
000037,3/31/2008,0.573516071,0.019639563,0.285036951,0.044769119,18.04,63.7521979,0,9.872048277,4.03888375
000037,6/30/2008,0.565291873,0.022560589,0.265906742,0.049015708,18.49,63.89988139,0,9.949526539,3.729611795
000037,9/30/2008,0.588992387,0.02174795,0.35088064,0.081791153,-29.27,55.61674776,0,9.570623589,4.062646882
000037,12/31/2008,0.603055429,0.00734478,0.448428225,0.100838132,-48.36,55.1098279,0,9.262862261,4.814045316
000037,3/31/2009,0.598885419,0.015935819,0.392963371,0.126740758,-35.75,58.88138188,0,9.376098954,4.770796288
000037,6/30/2009,0.586482623,0.009360069,0.363197632,0.136147602,-34.27,56.97965565,0,9.515557531,4.317078161
000037,9/30/2009,0.621616228,0.018880813,0.29237531,0.123119677,9.09,60.0259023,0,9.704399264,4.021534791
000037,12/31/2009,0.598582988,0.019497464,0.292717581,0.091945115,30.79,59.8584952,0,9.752497334,3.867447632
000037,3/31/2010,0.588043429,0.01915971,0.335313691,0.081243593,17.7,59.53851009,0,9.661639173,4.488243795
000037,6/30/2010,0.58675785,0.019477822,0.379788107,0.077783178,0.22,59.26923494,0,9.530576003,4.581659768
000037,9/30/2010,0.578139924,0.020146751,0.313257383,0.079988269,5.24,58.98954858,0,9.781724608,4.70634001
000037,12/31/2010,0.55591878,0.018380796,0.297232707,0.078465424,9.89,59.2242649,0,9.880575771,4.621989447
000037,3/31/2011,0.565926473,0.020671891,0.304842702,0.066860107,16.23,58.36898487,0,9.857907981,4.181605802
000037,6/30/2011,0.557346988,0.0205515,0.305931121,0.050357493,30.77,59.01410425,0,9.921879977,4.111710141
000037,9/30/2011,0.584436032,0.021286571,0.361067901,0.050081993,-6.45,60.15108084,0,9.683578044,4.364490673
000037,12/31/2011,0.57911377,0.015696984,0.329347698,0.060952898,-5.76,58.97526578,0,9.794873145,4.411553858
000037,3/31/2012,0.571577582,0.01865497,0.322662288,0.058845252,1.62,58.87242318,0,9.873515731,4.19316417
000037,6/30/2012,0.553293148,0.024003924,0.3811105,0.063910851,-14.85,58.83209471,0,9.746313497,4.247086848
000037,9/30/2012,0.585888158,0.00809241,0.368614076,0.052964899,6.33,63.34596963,0,9.774048643,4.05663092
000037,12/31/2012,0.606631365,0.015920106,0.361102063,0.046295025,-1.17,65.88464001,0,9.766788434,4.027150856
000037,3/31/2013,0.598396163,0.016799062,0.350720182,0.046122341,-4.68,66.17075678,0,9.80641464,4.04665687
000037,6/30/2013,0.596187819,0.016453894,0.34071486,0.040059523,10.84,66.83456776,0,9.862524101,3.921370764
000037,9/30/2013,0.575649436,0.008414519,0.312907875,0.068711063,23.87,66.58049718,0,10.02150816,4.374911845
000037,12/31/2013,0.565653747,0.016025498,0.307005577,0.062470576,27.76,69.59137329,0,10.07157528,4.21595535
000038,6/30/2002,0.499812842,0.022155271,0.295928761,0.064192245,5.76,4.247526729,0,7.929139667,3.483338359
000038,9/30/2002,0.501322065,0.022735013,0.302350237,0.054775714,10.14,4.859576536,0,7.955956821,3.325145018
000038,12/31/2002,0.476873865,0.020735424,0.308664094,0.054313002,5.66,5.726475529,0,7.987444042,3.776790254
000038,3/31/2003,0.467419867,0.021128639,0.330077955,0.039237141,-4.72,5.935236457,0,7.96929343,4.070807605
000038,6/30/2003,0.459509932,0.022756216,0.336607631,0.026989376,3.3,6.160539953,0,8.007484077,3.871123381
000038,9/30/2003,0.454089182,0.023498041,0.306195656,0.035086497,9.79,6.781379399,0,8.151561645,3.775236273
000038,12/31/2003,0.428002925,0.000859491,0.32081423,0.037438458,12.68,7.588078242,0,8.191901271,3.602233762
000038,3/31/2004,0.430571972,0.019188508,0.30342583,0.038958158,-5.41,9.592379001,0,8.286337442,3.657501265
000038,6/30/2004,0.423930993,0.023640403,0.275775378,0.042059611,-0.96,9.666978969,0,8.422321322,3.464479598
000038,9/30/2004,0.361900737,0.023305064,0.332885609,0.058847742,-15.34,10.59176836,0,8.280563793,3.318697304
000038,12/31/2004,0.352191471,0.023010085,0.314208092,0.055031283,-14.51,11.07107034,0,8.395677108,3.208227826
000038,3/31/2005,0.339773573,0.022456949,0.328075565,0.06846786,3.99,11.57532843,0,8.388904939,3.274056252
000038,6/30/2005,0.337462613,0.023983516,0.370509364,0.065229309,-6.81,11.73847608,0,8.290090187,3.363483786
000038,9/30/2005,0.3346915,0.025614617,0.372060201,0.058209395,1.27,12.17549765,0,8.322782191,3.32326296
000038,12/31/2005,0.326318003,0.006149703,0.374040353,0.057611398,-2.82,12.97270896,0,8.346348997,3.424164304
000038,3/31/2006,0.319531588,0.006114528,0.400619882,0.039822609,-3.63,13.66264009,0,8.319386462,3.533994118
000038,6/30/2006,0.316705729,0.008283484,0.365182968,0.036529408,5.39,14.37558464,0,8.417677853,3.43074793
000038,9/30/2006,0.318930131,0.011580978,0.366715136,0.030144522,5.84,14.75430334,0,8.458920017,3.80070582
000038,12/31/2006,0.359458936,2.28E-06,0.405163235,0.029830913,-24.3,14.79310202,0,7.615931653,3.691279382
000038,3/31/2007,0.357727062,0.01423033,0.398238722,0.028034662,-21.35,16.8600397,0,7.709202307,3.70986345
000038,6/30/2007,0.337305603,0.016412464,0.399239097,0.035738901,-25,17.1957656,0,7.750346836,3.719944134
000038,9/30/2007,0.33866802,0.019773992,0.400424047,0.040322553,-25.8,17.37054462,0,7.795989288,3.615451783
000038,12/31/2007,0.324217593,0.019437291,0.419878269,0.04279802,3.09,17.34727839,0,7.792612259,3.4537691
000038,3/31/2008,0.314856321,0.016593057,0.395436229,0.043772869,4.53,17.35521787,0,7.922865013,3.457051059
000038,6/30/2008,0.285917523,0.020681554,0.398406903,0.048800801,2.55,17.37204951,0,7.846175204,3.795668345
000038,9/30/2008,0.237577773,0.013778949,0.416614506,0.046857167,2.45,17.21581972,0,7.888255023,3.829403882
000038,12/31/2008,0.221458958,0.021908796,0.460454351,0.080150796,-0.03,17.07716266,0,7.784650536,4.308482077
000038,3/31/2009,0.202741869,0.019610952,0.507491203,0.07932803,-4.8,15.67516559,0,7.704695607,4.51585433
000038,6/30/2009,0.198254463,0.018585272,0.47008389,0.081267136,-0.84,15.56733715,0,7.8224265,3.724824902
000038,9/30/2009,0.228875992,0.020144235,0.439960826,0.08143481,0.44,14.84735984,0,7.908347511,3.898749478
000038,3/31/2010,0.241576702,0.018415683,0.476271272,0.044992279,3.54,13.57438255,0,7.853936195,3.918946845
000038,6/30/2010,0.298380495,0.026285909,0.47112157,0.047728499,1.66,12.70909931,0,7.890773299,4.019173341
000039,1/31/2002,0.629548444,0.018099831,0.505501549,0.079465046,0.4,118.0441436,0,9.367450953,4.08001891
000039,4/30/2002,0.628769854,0.014918655,0.422906237,0.07915217,0.14,122.4491845,0,9.521551942,4.00875608
000039,7/31/2002,0.624017384,0.015530134,0.516745252,0.075184283,-4.55,123.3563398,0,9.340027384,4.383778395
000039,10/31/2002,0.642187601,0.012347275,0.642733224,0.073169021,-9.6,124.2896047,0,9.060872378,4.549767684
000039,4/30/2003,0.655918962,0.011453919,0.713029353,0.066139413,-13.68,124.2750093,0,8.894069507,4.457734945
000039,7/31/2003,0.650636586,0.010686721,0.765138797,0.060233668,-9.32,124.2645941,0,8.842405125,4.482746167
000039,1/31/2004,0.650448227,0.008379888,0.625953879,0.066378824,1.86,124.0732734,0,9.059108096,4.344176951
000039,7/31/2004,0.708142423,0.006900359,0.589046651,0.070473265,5.53,124.3000893,0,9.10225615,4.242254994
000039,10/31/2004,0.715262933,0.005718256,0.63473305,0.066982268,2.52,93.25758766,0,9.035281974,3.927543811
000039,4/30/2005,0.69949328,0.005893369,0.74917064,0.066158412,-3.57,90.93236353,0,8.893259698,4.387461187
000039,7/31/2005,0.696496552,0.006068966,0.701472058,0.053010324,-3.08,91.47251529,0,8.967259384,4.522118084
000039,10/31/2005,0.698860849,0.004414891,0.596292303,0.09771698,2.3,91.47734836,0,9.134062817,5.640474418
000039,1/31/2006,0.680655811,0.009176879,0.613293214,0.111131098,2.27,92.58195516,0,9.138360902,5.422960671
000040,3/31/2002,0.768354286,0.005585793,0.867338672,0.155222736,6.02,39.43143842,0,7.430936458,6.196090825
000040,6/30/2002,0.763127257,0.006770205,1.110036446,0.156441074,-0.4,39.96282235,0,7.215095851,6.032216942
000040,9/30/2002,0.762855463,0.006075285,1.346007045,0.149901472,0.16,40.47753959,0,7.039108015,6.039399163
000040,12/31/2002,0.75379733,0.005103765,1.51140581,0.125450602,-4.54,40.71879286,0,6.943452918,5.991268065
000040,3/31/2003,0.748694472,0.005687961,1.559654724,0.110989357,-4.62,40.55635024,0,6.93902611,5.973882379
000040,6/30/2003,0.745229265,0.002247094,1.280198723,0.08896248,-0.5,40.76565867,0,7.171218324,6.09265992
000040,9/30/2003,0.753678699,0.004884399,1.521545455,0.09596886,-0.57,33.96926348,0,6.979947932,6.267418969
000040,12/31/2003,0.739336208,0.004559097,0.973622061,0.144186253,4.71,29.39141747,0,7.466172108,5.515220474
000040,3/31/2004,0.680706431,0.005201082,0.919510129,0.139048391,5.7,29.41517098,0,7.548884692,5.325449533
000040,6/30/2004,0.630151243,0.001984395,1.019169198,0.146165242,2.57,29.49929204,0,7.428213229,5.639275866
000040,9/30/2004,0.626479917,0.004626403,0.983539752,0.130271587,4.71,29.45567963,0,7.447729823,5.642443523
000040,12/31/2004,0.602583573,0.004789698,1.060331613,0.072098036,-0.3,25.66520739,0,7.398344146,5.512093162
000040,3/31/2005,0.587402707,0.00188145,1.222204789,0.070305968,-2.91,18.55824369,0,7.237336434,5.656768818
000040,6/30/2005,0.57015083,0.006453969,1.278332464,0.079504295,-1.96,18.67915064,0,7.186868168,5.853416403
000040,9/30/2005,0.590183148,0.005010936,1.159109379,0.076936423,-2.04,18.60777394,0,7.211398049,5.82606242
000040,12/31/2005,0.564711734,0.007598135,1.13265554,0.063922451,-1.15,18.58069028,0,7.242515308,5.739860994
000040,3/31/2006,0.557186177,0.007072923,0.84892354,0.07421546,4.36,18.56531222,0,7.53415029,5.258006655
000040,6/30/2006,0.517413106,0.007936623,0.996794918,0.061262716,3.09,18.52038072,0,7.40193102,5.087026738
000040,9/30/2006,0.478251842,0.00816227,0.97306521,0.067811667,3.46,18.52857093,0,7.4574972,5.077048776
000040,12/31/2006,0.471949782,0.008452897,0.824737244,0.072357813,5.96,9.315703785,0,7.635613645,4.907213838
000040,3/31/2007,0.467323925,0.009408715,0.955286933,0.068696818,0.12,9.214977484,0,7.498205144,5.073315083
000040,6/30/2007,0.463869309,0.009012325,0.902074888,0.065912484,3.01,9.032177932,0,7.558411745,5.518847867
