Date,S&P500,Apple,Change_S&P500,Change_Apple
2018-12-01,2506.850098,157.740005,-0.091776895,-0.113616408
2018-11-01,2760.169922,177.959076,0.017859357,-0.184044564
2018-10-01,2711.73999,218.099014,-0.069403356,-0.030477545
2018-09-01,2913.97998,224.955093,0.004294287,-0.004824988
2018-08-01,2901.52002,226.045761,0.030263211,0.196226904
2018-07-01,2816.290039,188.965622,0.036021556,0.027983292
2018-06-01,2718.370117,183.821686,0.004842436,-0.005598539
2018-05-01,2705.27002,184.856613,0.021608342,0.130763741
2018-04-01,2648.050049,163.479431,0.002718775,-0.01501973
2018-03-01,2640.870117,165.97229,-0.026884499,-0.054210335
2018-02-01,2713.830078,175.485413,-0.038947372,0.063847627
2018-01-01,2823.810059,164.953522,0.056178704,-0.010636501
2017-12-01,2673.610107,166.726913,0.034342557,-0.011705739
2017-11-01,2584.840088,168.701691,0.003720043,0.016623342
2017-10-01,2575.26001,165.943161,0.022188135,0.096807709
2017-09-01,2519.360107,151.296494,0.019302979,-0.05655359
2017-08-01,2471.649902,160.365753,0.000546433,0.102669334
2017-07-01,2470.300049,145.434128,0.019348826,0.032703645
2017-06-01,2423.409912,140.828522,0.004813775,-0.053322291
2017-05-01,2411.800049,148.760788,0.011576251,0.06341794
2017-04-01,2384.199951,139.889297,0.009091209,-6.97003E-05
2017-03-01,2362.719971,139.899048,-0.000389197,0.053236292
2017-02-01,2363.639893,132.827789,0.03719816,0.128883588
2017-01-01,2278.870117,117.662964,0.017884358,0.047746547
2016-12-01,2238.830078,112.30098,0.018200762,0.053335531
2016-11-01,2198.810059,106.614632,0.034174522,-0.026598623
2016-10-01,2126.149902,109.527924,-0.019425679,0.004334381
2016-09-01,2168.27002,109.055237,-0.001234451,0.071276233
2016-08-01,2170.949951,101.799362,-0.001219243,0.018136465
2016-07-01,2173.600098,99.98597,0.035609801,0.090062836
2016-06-01,2098.860107,91.72496,0.000910921,-0.03683101
2016-05-01,2096.949951,95.232468,0.015324602,0.065287024
2016-04-01,2065.300049,89.396065,0.002699398,-0.139921224
2016-03-01,2059.73999,103.939392,0.065991115,0.13332712
2016-02-01,1932.22998,91.711731,-0.00412836,-0.006677436
2016-01-01,1940.23999,92.328247,-0.050735322,-0.075242329
2015-12-01,2043.939941,99.840477,-0.017530185,-0.106419481
2015-11-01,2080.409912,111.730812,0.000504869,-0.010041893
2015-10-01,2079.360107,112.864182,0.082983118,0.083408965
2015-09-01,1920.030029,104.175049,-0.026442832,-0.018780906
2015-08-01,1972.180054,106.168999,-0.062580818,-0.069084931
2015-07-01,2103.840088,114.047997,0.01974203,-0.032926616
2015-06-01,2063.110107,117.931068,-0.021011672,-0.033205955
2015-05-01,2107.389893,121.981583,0.010491382,0.040990771
2015-04-01,2085.51001,117.178352,0.00852082,0.005786409
2015-03-01,2067.889893,116.504211,-0.017396107,-0.027548992
2015-02-01,2104.5,119.80471,0.054892511,0.096449357
2015-01-01,1994.98999,109.266068,-0.031040806,0.061424094
2014-12-01,2058.899902,102.942894,-0.004188588,-0.067866477
2014-11-01,2067.560059,110.437927,0.024533589,0.101203915
2014-10-01,2018.050049,100.288353,0.023201461,0.071960069
2014-09-01,1972.290039,93.556053,-0.015513837,-0.012183837
2014-08-01,2003.369995,94.709984,0.037655295,0.072175782
2014-07-01,1930.670044,88.334381,-0.015079831,0.028731202
2014-06-01,1960.22998,85.86731,0.019058332,0.06923382
2014-05-01,1923.569946,80.307327,0.02103028,0.07271798
2014-04-01,1883.949951,74.863411,0.006200789,0.099396577
2014-03-01,1872.339966,68.095001,0.006932166,0.064281142
2014-02-01,1859.449951,63.982155,0.04311703,0.051218701
2014-01-01,1782.589966,60.864742,-0.035582906,-0.107696811
2013-12-01,1848.359985,68.210831,0.023562792,0.051631713
2013-11-01,1805.810059,64.8619,0.028049472,0.063841739
2013-10-01,1756.540039,60.969501,0.044595753,0.09638138
