Customer ID,Customer Age,Omni Customer,Total Visits,Avg Spending ($),Customer City,Customer State,Device Type,Has Used Promotions
BE156,40,No,2,249.59,Charlotte,NC,Windows,No
WB452,34,Yes,1,246.59,New York,NY,Windows,Yes
EW850,25,Yes,1,245.05,San Francisco,CA,iOS,Yes
VY667,33,No,1,243.81,Chicago,IL,iOS,No
ZL488,56,Yes,2,240.75,Jacksonville,FL,Android,No
OP735,44,Yes,1,235.19,Indianapolis,IN,Android,No
AL494,30,No,2,234.86,Phoenix,AZ,iOS,No
IJ192,45,Yes,1,230.81,Los Angeles,CA,Windows,Yes
AO112,23,No,1,228.64,Fort Worth,TX,Windows,Yes
AX514,34,No,1,228.17,Indianapolis,IN,Android,No
BF467,32,No,2,225.48,Houston,TX,Android,Yes
TL879,34,Yes,1,220.47,Denver,CO,Windows,Yes
JV579,23,Yes,1,219.89,San Jose,CA,Android,Yes
PD146,34,No,1,217.85,Jacksonville,FL,Windows,Yes
UH209,37,No,2,217.08,Austin,TX,iOS,No
DI627,38,Yes,2,216.7,Los Angeles,CA,Windows,Yes
AN851,23,No,2,201.12,Indianapolis,IN,Android,No
BC670,31,No,1,196,Phoenix,AZ,Windows,Yes
UT771,34,No,2,191.55,Philadelphia,PA,Windows,Yes
LL634,23,No,2,188.3,Dallas,TX,Android,Yes
YU109,33,Yes,2,187.67,Seattle,WA,Windows,No
JT480,25,No,2,184.76,Philadelphia,PA,Android,Yes
UA360,23,Yes,1,182.47,Austin,TX,iOS,No
KC458,31,No,1,181.03,Columbus,OH,Windows,No
MU641,50,No,1,179.23,Los Angeles,CA,Windows,Yes
GP982,24,No,2,178.63,Fort Worth,TX,Android,No
RM899,24,No,1,178.61,Phoenix,AZ,Android,Yes
FU763,47,No,1,174.1,Washington,DC,iOS,Yes
IA182,38,Yes,2,173.74,Seattle,WA,iOS,Yes
XL826,39,Yes,2,170.03,San Antonio,TX,iOS,No
ZT206,31,No,2,166.71,Columbus,OH,iOS,Yes
HI751,31,Yes,2,160.54,Washington,DC,Android,No
ZM195,42,Yes,1,160.16,San Jose,CA,iOS,Yes
RO913,31,No,1,159.69,Houston,TX,Android,Yes
VS493,48,Yes,1,157.79,San Diego,CA,Android,Yes
GD118,25,No,2,153.22,Phoenix,AZ,iOS,Yes
VN550,38,No,1,152.29,Phoenix,AZ,Windows,No
JG454,34,Yes,1,146.47,San Francisco,CA,iOS,Yes
AN544,33,No,1,145.36,Phoenix,AZ,Windows,Yes
DL468,43,No,2,143.78,Houston,TX,Android,Yes
KW691,41,No,2,140.32,Los Angeles,CA,Android,Yes
AA712,26,Yes,2,138.62,San Diego,CA,Windows,No
MU400,37,No,2,135.8,San Jose,CA,Android,Yes
FB798,35,Yes,2,133.08,San Antonio,TX,iOS,Yes
PI761,31,No,1,131.38,San Jose,CA,Windows,No
PE864,23,No,2,130.63,San Diego,CA,iOS,No
QB959,25,No,1,129.89,Denver,CO,Android,No
HR835,28,Yes,2,129.03,Seattle,WA,Windows,No
WR898,36,No,1,128.49,Seattle,WA,iOS,Yes
BK238,40,No,1,128.22,San Antonio,TX,Android,Yes
SV327,24,Yes,2,126.88,Denver,CO,iOS,Yes
LN772,32,No,1,126.86,Austin,TX,Android,Yes
VF296,38,No,2,119.1,San Francisco,CA,Windows,Yes
FH128,24,No,2,114.8,Chicago,IL,iOS,Yes
KZ537,40,Yes,1,113.47,Charlotte,NC,Windows,Yes
DB250,25,No,2,112.65,Jacksonville,FL,iOS,No
WN435,23,No,1,111.94,Los Angeles,CA,Android,Yes
QO627,27,No,1,110.38,Los Angeles,CA,Android,Yes
SK503,35,No,1,109.45,Jacksonville,FL,Android,No
PS950,46,No,2,109.39,Columbus,OH,Windows,Yes
SS709,35,No,1,104.94,Jacksonville,FL,Android,No
EU503,35,No,1,103.94,Jacksonville,FL,Android,Yes
EE334,28,No,1,102.74,Fort Worth,TX,Windows,Yes
FK392,36,Yes,1,102.09,Denver,CO,iOS,Yes
AK443,36,No,2,99.29,Charlotte,NC,Android,Yes
ZW800,31,Yes,1,90.63,Los Angeles,CA,Android,Yes
NY427,46,Yes,1,89.56,San Antonio,TX,Windows,Yes
PT200,27,No,2,88.43,San Francisco,CA,iOS,Yes
VK714,51,No,1,84.73,Charlotte,NC,Android,Yes
QE686,23,Yes,2,83.62,San Antonio,TX,iOS,Yes
DD904,49,Yes,9,79.97,Fort Worth,TX,iOS,Yes
KY489,50,No,24,79.95,San Jose,CA,Android,Yes
CK922,30,Yes,7,79.85,Indianapolis,IN,Windows,Yes
GB346,29,No,4,79.85,San Francisco,CA,iOS,No
RU274,26,Yes,24,79.76,San Jose,CA,Windows,Yes
FC379,37,Yes,10,79.74,Houston,TX,Android,No
MN401,42,No,15,79.62,New York,NY,Android,Yes
OQ222,43,Yes,35,79.61,San Diego,CA,Android,Yes
MH590,50,No,9,79.57,Phoenix,AZ,Android,No
MB472,28,Yes,36,79.54,Indianapolis,IN,Windows,Yes
EF294,23,No,11,79.5,Seattle,WA,Android,No
FJ887,32,Yes,31,79.49,New York,NY,Windows,Yes
GY879,29,Yes,9,79.48,Austin,TX,Windows,No
PV594,48,No,36,79.48,Dallas,TX,Windows,Yes
QB881,38,Yes,39,79.44,Charlotte,NC,iOS,No
VB813,23,No,40,79.38,San Jose,CA,Android,No
HL794,35,No,22,79.3,Denver,CO,iOS,Yes
MH694,28,Yes,35,79.29,Columbus,OH,Windows,Yes
HA747,23,No,16,79.29,Chicago,IL,Windows,Yes
CS849,23,No,15,79.22,Columbus,OH,iOS,Yes
BH898,30,No,24,79.22,Austin,TX,Android,Yes
JP645,33,No,35,79.17,Seattle,WA,Android,Yes
MJ610,31,Yes,31,79.15,San Antonio,TX,iOS,No
BK301,31,No,38,79.13,Los Angeles,CA,iOS,Yes
DI981,35,Yes,27,79.13,San Diego,CA,Android,Yes
YB385,25,Yes,25,78.99,San Francisco,CA,Windows,Yes
LU670,33,No,20,78.97,Phoenix,AZ,iOS,Yes
JS637,26,Yes,19,78.97,San Francisco,CA,Android,Yes
