gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
363718,2012-01-31,1,LDOS,1336920,Leidos Holdings,59.0,10587.0,9606.0,772.0,6667.0,4486.0,2181.0
363718,2013-01-31,1,LDOS,1336920,Leidos Holdings,525.0,11173.0,9809.0,,5875.0,3257.0,2618.0
363718,2014-01-31,1,LDOS,1336920,Leidos Holdings,164.0,5772.0,5006.0,,4162.0,2567.0,1595.0
363718,2014-12-31,12,LDOS,1336920,Leidos Holdings,-334.0,4690.0,4069.0,,,,
363718,2015-01-31,1,LDOS,1336920,Leidos Holdings,-323.0,5063.0,4392.0,,3281.0,2283.0,998.0
363718,2015-12-31,12,LDOS,1336920,Leidos Holdings,242.0,4712.0,4146.0,,3377.0,2309.0,1068.0
363718,2016-12-31,12,LDOS,1336920,Leidos Holdings,244.0,7043.0,6191.0,,9132.0,5997.0,3135.0
363718,2017-12-31,12,LDOS,1336920,Leidos Holdings,366.0,10170.0,8923.0,526.0,8990.0,5620.0,3370.0
363718,2018-12-31,12,LDOS,1336920,Leidos Holdings,581.0,10194.0,8690.0,768.0,8770.0,5462.0,3308.0
363718,2019-12-31,12,LDOS,1336920,Leidos Holdings,667.0,11094.0,9546.0,992.0,9367.0,5954.0,3413.0
