Symbol,Company,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
FB,"Facebook, Inc.","Jul 30, 2020, 12 AMEDT",1.39,1.8,29.59
FB,"Facebook, Inc.","Apr 29, 2020, 12 AMEDT",1.76,1.71,-2.56
FB,"Facebook, Inc.","Jan 29, 2020, 12 AMEDT",2.53,2.56,1.35
FB,"Facebook, Inc.","Oct 30, 2019, 12 AMEDT",1.91,2.12,10.94
FB,"Facebook, Inc.","Jul 24, 2019, 12 AMEDT",1.88,0.91,-51.62
FB,"Facebook, Inc.","Apr 24, 2019, 12 AMEDT",1.63,0.85,-47.72
FB,"Facebook, Inc.","Jan 30, 2019, 12 AMEDT",2.19,2.38,8.87
FB,"Facebook, Inc.","Oct 30, 2018, 12 AMEDT",1.47,1.76,19.65
FB,"Facebook, Inc.","Jul 25, 2018, 12 AMEDT",1.72,1.74,1.1
FB,"Facebook, Inc.","Apr 25, 2018, 12 AMEDT",1.35,1.69,25.09
FB,"Facebook, Inc.","Jan 31, 2018, 12 AMEDT",1.95,1.44,-26.23
FB,"Facebook, Inc.","Nov 01, 2017, 12 AMEDT",1.28,1.59,24.12
FB,"Facebook, Inc.","Jul 26, 2017, 12 AMEDT",1.13,1.32,16.92
FB,"Facebook, Inc.","May 03, 2017, 12 AMEDT",1.12,1.04,-7.14
FB,"Facebook, Inc.","Feb 01, 2017, 12 AMEDT",1.31,1.41,7.63
FB,"Facebook, Inc.","Nov 02, 2016, 12 AMEDT",0.97,1.09,12.84
FB,"Facebook, Inc.","Jul 27, 2016, 12 AMEDT",0.82,0.97,18.87
FB,"Facebook, Inc.","Apr 27, 2016, 12 AMEDT",0.62,0.77,23.6
FB,"Facebook, Inc.","Jan 27, 2016, 12 AMEDT",0.68,0.79,16.69
FB,"Facebook, Inc.","Nov 04, 2015, 12 AMEDT",0.52,0.57,9.4
FB,"Facebook, Inc.","Jul 29, 2015, 12 AMEDT",0.47,0.5,5.71
FB,"Facebook, Inc.","Apr 22, 2015, 12 AMEDT",0.4,0.42,4.22
FB,"Facebook, Inc.","Jan 28, 2015, 12 AMEDT",0.49,0.54,11.34
FB,"Facebook, Inc.","Oct 28, 2014, 12 AMEDT",0.4,0.43,6.44
FB,"Facebook, Inc.","Jul 23, 2014, 12 AMEDT",0.32,0.42,30.55
FB,"Facebook, Inc.","Apr 23, 2014, 12 AMEDT",0.24,0.34,41.59
FB,"Facebook, Inc.","Jan 29, 2014, 12 AMEDT",0.27,0.31,15.53
FB,"Facebook, Inc.","Oct 30, 2013, 12 AMEDT",0.19,0.25,34.96
FB,"Facebook, Inc.","Jul 24, 2013, 12 AMEDT",0.14,0.19,39.29
FB,"Facebook, Inc.","May 01, 2013, 12 AMEDT",0.13,0.12,-4.28
FB,"Facebook, Inc.","Jan 30, 2013, 12 AMEDT",0.15,0.17,11.75
FB,"Facebook, Inc.","Oct 23, 2012, 12 AMEDT",0.11,0.12,9.15
FB,"Facebook, Inc.","Jul 26, 2012, 12 AMEDT",0.12,0.12,1.72
