Symbol,edate,EPS Estimate,Reported EPS,surprise,meet_beat
GOOG,2020-04-28,10.38,9.87,-0.5100000000000016,none
GOOG,2020-02-03,12.59,15.35,2.76,none
GOOG,2019-10-28,12.46,10.12,-2.3400000000000016,none
GOOG,2019-07-25,11.33,14.21,2.880000000000001,none
GOOG,2019-04-29,10.63,9.5,-1.1300000000000008,none
GOOG,2019-02-04,10.82,12.77,1.9499999999999993,none
GOOG,2018-10-25,10.4,13.06,2.66,none
GOOG,2018-07-23,9.54,4.54,-4.999999999999999,none
GOOG,2018-04-23,9.32,13.33,4.01,none
GOOG,2018-02-01,9.96,9.7,-0.26000000000000156,none
GOOG,2017-10-26,8.33,9.57,1.2400000000000002,none
GOOG,2017-07-24,4.47,5.01,0.54,none
GOOG,2017-04-27,7.39,7.73,0.34000000000000075,none
GOOG,2017-01-26,9.67,9.36,-0.3100000000000005,none
GOOG,2016-10-27,8.64,9.06,0.41999999999999993,none
GOOG,2016-07-28,8.03,8.42,0.39000000000000057,none
GOOG,2016-04-21,7.96,7.5,-0.45999999999999996,none
GOOG,2016-02-01,8.1,8.67,0.5700000000000003,none
GOOG,2015-10-22,7.21,7.35,0.13999999999999968,none
GOOG,2015-07-16,6.74,6.99,0.25,none
MSFT,2020-07-22,1.34,1.46,0.11999999999999988,none
MSFT,2020-04-29,1.26,1.4,0.1399999999999999,none
MSFT,2020-01-29,1.32,1.51,0.18999999999999995,none
MSFT,2019-10-23,1.25,1.38,0.1299999999999999,none
MSFT,2019-07-18,1.21,1.37,0.16000000000000014,none
MSFT,2019-04-24,1.0,1.14,0.1399999999999999,none
MSFT,2019-01-30,1.09,1.1,0.010000000000000009,none
MSFT,2018-10-24,0.96,1.14,0.17999999999999994,none
MSFT,2018-07-19,1.08,1.13,0.04999999999999982,none
MSFT,2018-04-26,0.85,0.95,0.09999999999999998,none
MSFT,2018-01-31,0.87,0.96,0.08999999999999997,none
MSFT,2017-10-26,0.72,0.84,0.12,none
MSFT,2017-07-20,0.71,0.98,0.27,none
MSFT,2017-04-27,0.7,0.73,0.030000000000000027,none
MSFT,2017-01-26,0.79,0.83,0.039999999999999925,none
MSFT,2016-10-20,0.68,0.76,0.07999999999999996,none
MSFT,2016-07-19,0.58,0.69,0.10999999999999999,none
MSFT,2016-04-21,0.64,0.62,-0.020000000000000018,none
MSFT,2016-01-28,0.71,0.78,0.07000000000000006,none
MSFT,2015-10-22,0.59,0.67,0.08000000000000007,none
MSFT,2015-07-21,0.56,0.6,0.039999999999999925,none
MSFT,2015-04-23,0.51,0.61,0.09999999999999998,none
MSFT,2015-01-26,0.71,0.71,0.0,exactlymeet
MSFT,2014-10-23,0.49,0.54,0.050000000000000044,none
MSFT,2014-07-22,0.6,0.55,-0.04999999999999993,none
MSFT,2014-04-24,0.63,0.68,0.050000000000000044,none
MSFT,2014-01-23,0.68,0.78,0.09999999999999998,none
MSFT,2013-10-24,0.54,0.62,0.07999999999999996,none
MSFT,2013-07-18,0.75,0.66,-0.08999999999999997,none
MSFT,2013-04-18,0.68,0.72,0.039999999999999925,none
MSFT,2013-01-24,0.75,0.76,0.010000000000000009,none
MSFT,2012-10-18,0.56,0.53,-0.030000000000000027,none
MSFT,2012-07-19,0.62,0.67,0.050000000000000044,none
MSFT,2012-04-19,0.57,0.6,0.030000000000000027,none
MSFT,2012-01-19,0.76,0.78,0.020000000000000018,none
MSFT,2011-10-20,0.68,0.68,0.0,exactlymeet
MSFT,2011-07-21,0.58,0.69,0.10999999999999999,none
MSFT,2011-04-28,0.56,0.61,0.04999999999999993,none
MSFT,2011-01-27,0.68,0.77,0.08999999999999997,none
MSFT,2010-10-28,0.55,0.62,0.06999999999999995,none
MSFT,2010-07-22,0.46,0.51,0.04999999999999999,none
MSFT,2010-04-22,0.42,0.45,0.030000000000000027,none
MSFT,2010-01-28,0.59,0.74,0.15000000000000002,none
MSFT,2009-10-23,0.32,0.4,0.08000000000000002,none
MSFT,2009-07-23,0.36,0.36,0.0,exactlymeet
MSFT,2009-04-23,0.39,0.39,0.0,exactlymeet
MSFT,2009-01-22,0.49,0.47,-0.020000000000000018,none
MSFT,2008-10-23,0.47,0.48,0.010000000000000009,none
MSFT,2008-07-17,0.47,0.46,-0.009999999999999953,justmiss
MSFT,2008-04-24,0.44,0.47,0.02999999999999997,none
MSFT,2008-01-24,0.46,0.5,0.03999999999999998,none
MSFT,2007-10-25,0.39,0.45,0.06,none
MSFT,2007-07-19,0.39,0.39,0.0,exactlymeet
MSFT,2007-04-26,0.46,0.49,0.02999999999999997,none
MSFT,2007-01-25,0.23,0.26,0.03,none
MSFT,2006-10-26,0.31,0.35,0.03999999999999998,none
MSFT,2006-07-20,0.3,0.31,0.010000000000000009,none
MSFT,2006-04-27,0.33,0.32,-0.010000000000000009,none
MSFT,2006-01-26,0.33,0.33,0.0,exactlymeet
MSFT,2005-10-27,0.3,0.31,0.010000000000000009,none
MSFT,2005-07-21,0.31,0.32,0.010000000000000009,none
MSFT,2005-04-28,0.32,0.32,0.0,exactlymeet
MSFT,2005-01-27,0.33,0.35,0.019999999999999962,none
MSFT,2004-10-21,0.3,0.31,0.010000000000000009,none
MSFT,2004-07-22,0.29,0.28,-0.009999999999999953,justmiss
MSFT,2004-04-22,0.29,0.34,0.050000000000000044,none
MSFT,2004-01-22,0.3,0.34,0.040000000000000036,none
MSFT,2003-10-23,0.29,0.3,0.010000000000000009,none
MSFT,2003-07-17,0.24,0.23,-0.009999999999999981,justmiss
MSFT,2003-04-15,0.24,0.27,0.030000000000000027,none
MSFT,2003-01-16,0.23,0.27,0.04000000000000001,none
MSFT,2002-10-17,0.21,0.28,0.07000000000000003,none
