gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
002575,20121231,12,MTD,1037646,Mettler Toledo,290.847,2341.528,811.204,327.704,2117.4,1290.181,827.219
002575,20131231,12,MTD,1037646,Mettler Toledo,306.094,2378.972,794.915,345.928,2152.819,1217.767,935.052
002575,20141231,12,MTD,1037646,Mettler Toledo,338.241,2485.983,809.537,418.912,2009.11,1289.515,719.595
002575,20151231,12,MTD,1037646,Mettler Toledo,352.82,2395.447,744.867,426.868,2018.485,1438.028,580.457
002575,20161231,12,MTD,1037646,Mettler Toledo,384.37,2508.257,767.753,443.078,2166.777,1731.834,434.943
002575,20171231,12,MTD,1037646,Mettler Toledo,375.972,2725.053,833.793,516.325,2549.805,2002.525,547.28
002575,20181231,12,MTD,1037646,Mettler Toledo,512.611,2935.586,,565.005,2618.847,2028.784,590.063
002575,20191231,12,MTD,1037646,Mettler Toledo,561.109,3008.652,,603.45,2789.321,2368.541,420.78
005977,20171231,12,AXP,4962,American Express Co,2736,24780,,13540,181159,162932,18227
005977,20181231,12,AXP,4962,American Express Co,6921,26607,,8930,188602,166312,22290
005977,20191231,12,AXP,4962,American Express Co,6759,28159,,13632,198321,175250,23071
006683,20121231,12,CHRW,1043277,C. H. Robinson Worldwide,593.804,11359.113,1483.745,460.342,2804.225,1299.853,1504.372
006683,20131231,12,CHRW,1043277,C. H. Robinson Worldwide,415.904,12752.076,1542.184,347.777,2802.818,1863.094,939.724
006683,20141231,12,CHRW,1043277,C. H. Robinson Worldwide,449.711,13470.067,1418.009,513.426,3214.338,2167.323,1047.015
006683,20151231,12,CHRW,1043277,C. H. Robinson Worldwide,509.699,13476.084,1365.333,718.336,3184.358,2033.908,1150.45
006683,20161231,12,CHRW,1043277,C. H. Robinson Worldwide,513.384,13144.413,1316.951,529.408,3687.758,2429.911,1257.847
006683,20171231,12,CHRW,1043277,C. H. Robinson Worldwide,504.893,14869.38,1244.04,384.001,4235.834,2810.089,1425.745
006683,20181231,12,CHRW,1043277,C. H. Robinson Worldwide,664.505,16631.172,,792.896,4427.412,2832.325,1595.087
006683,20191231,12,CHRW,1043277,C. H. Robinson Worldwide,576.968,15309.508,,835.419,4641.06,2970.33,1670.73
007334,20121231,12,HAL,45012,Halliburton Co.,2635,28503,5322,3654,27410,11620,15765
007334,20131231,12,HAL,45012,Halliburton Co.,2125,29402,5972,4447,29223,15608,13581
007334,20141231,12,HAL,45012,Halliburton Co.,3500,32870,6599,4062,32240,15942,16267
007334,20151231,12,HAL,45012,Halliburton Co.,-671,23633,5213,2906,36942,21447,15462
007334,20161231,12,HAL,45012,Halliburton Co.,-5763,15887,3770,-1703,27000,17552,9409
007334,20171231,12,HAL,45012,Halliburton Co.,-463,20620,4142,2468,25085,16736,8322
009402,20120630,6,MSFT,789019,Microsoft Corp.,16978,73723,17530,31626,121271,54908,66363
009402,20130630,6,MSFT,789019,Microsoft Corp.,21863,77849,20249,28833,142431,63487,78944
009402,20140630,6,MSFT,789019,Microsoft Corp.,22074,86833,26934,,172384,82600,89784
009402,20150630,6,MSFT,789019,Microsoft Corp.,12193,93580,33038,,176223,96140,80083
009402,20160630,6,MSFT,789019,Microsoft Corp.,16798,85320,17880,33325,193694,121697,71997
009402,20170630,6,MSFT,789019,Microsoft Corp.,21204,89950,15175,39507,241086,168692,72394
009402,20180630,6,MSFT,789019,Microsoft Corp.,16571,110360,38353,43884,258848,176130,82718
009402,20190630,6,MSFT,789019,Microsoft Corp.,39240,125843,42910,52185,286556,184226,102330
009570,20121231,12,INTC,50863,Intel Corp.,11005,53341,20190,18884,84351,33148,51203
009570,20131231,12,INTC,50863,Intel Corp.,9620,52708,21187,,92358,34102,58256
009570,20141231,12,INTC,50863,Intel Corp.,11704,55870,20261,,91956,36091,55865
009570,20151231,12,INTC,50863,Intel Corp.,11420,55355,20676,,103065,41980,61085
009570,20161231,12,INTC,50863,Intel Corp.,10316,59387,23196,,113327,47101,66226
009570,20171231,12,INTC,50863,Intel Corp.,9601,62761,23692,22110,123249,54230,69019
009570,20181231,12,INTC,50863,Intel Corp.,21053,70848,27111,29432,127963,53400,74563
009570,20191231,12,INTC,50863,Intel Corp.,21048,71965,29825,33145,136524,59020,77504
011368,20121231,12,LYB,1489393,LyondellBasell,2848,45352,39595,4787,24220,13081,11139
011368,20131231,12,LYB,1489393,LyondellBasell,3857,44062,37940,4835,27298,14820,12478
011368,20141231,12,LYB,1489393,LyondellBasell,4174,45608,38939,6048,24283,15969,8314
011368,20151231,12,LYB,1489393,LyondellBasell,4476,32735,25683,5842,22757,16207,6550
011368,20161231,12,LYB,1489393,LyondellBasell,3836,29183,23191,5606,23442,17394,6048
011368,20171231,12,LYB,1489393,LyondellBasell,4879,34484,28059,5206,26206,17257,8949
011368,20181231,12,LYB,1489393,LyondellBasell,4690,38126,32529,5471,28278,18021,10257
011368,20191231,12,LYB,1489393,LyondellBasell,3397,34727,29301,4961,30435,22391,8044
011523,20121231,12,MPC,1510295,Marathon Petroleum,3389,82243,,4492,27223,15118,11694
011523,20131231,12,MPC,1510295,Marathon Petroleum,2112,100160,,3405,28385,17053,10920
011523,20141231,12,MPC,1510295,Marathon Petroleum,2524,97817,,3110,30460,19070,10751
011523,20151231,12,MPC,1510295,Marathon Petroleum,2852,72051,,4061,43115,23440,13237
011523,20181231,12,MPC,1510295,Marathon Petroleum,2780,95750,85456,6158,92940,47887,35175
011523,20191231,12,MPC,1510295,Marathon Petroleum,2637,123949,110243,9441,98556,55449,33694
014074,20121231,12,PGR,80661,Progressive Corp.,902.3,17083.9,,1691.4,22694.7,16687.7,6007
014074,20131231,12,PGR,80661,Progressive Corp.,1165.4,18170.9,,1899.9,24408.2,18218.7,6189.5
014074,20141231,12,PGR,80661,Progressive Corp.,1281,19391.4,,1725.6,25787.6,18859,6928.6
014074,20151231,12,PGR,80661,Progressive Corp.,1267.6,20853.8,,2292.9,29819.3,22065,7289.4
014074,20161231,12,PGR,80661,Progressive Corp.,1031,23441.4,,2701.9,33427.5,24986.7,7957.1
014074,20171231,12,PGR,80661,Progressive Corp.,1592.2,26839,,3756.8,38701.2,28912.7,9284.8
014074,20181231,12,PGR,80661,Progressive Corp.,2615.3,31979,,6284.8,46575,35538.7,10821.8
014074,20191231,12,PGR,80661,Progressive Corp.,3970.3,39022.3,,6261.6,54895.3,40996.5,13673.2
016281,20141130,11,CCL,815097,Carnival Corp.,1236,15884,10403,3430,39532,15244,24288
016281,20151130,11,CCL,815097,Carnival Corp.,1757,15714,9447,4545,39237,15466,23771
016281,20161130,11,CCL,815097,Carnival Corp.,2779,16389,9383,5134,38936,16339,22597
016281,20171130,11,CCL,815097,Carnival Corp.,2606,17510,10501,5322,40778,16562,24216
016281,20181130,11,CCL,815097,Carnival Corp.,3152,18881,11089,5549,42401,17958,24443
016281,20191130,11,CCL,815097,Carnival Corp.,2990,20825,12909,5475,45058,19693,25365
017907,20120930,9,SBUX,829224,Starbucks Corp.,1383.8,13299.5,5813.3,1750.3,8219.2,3104.7,5109
017907,20130930,9,SBUX,829224,Starbucks Corp.,8.3,14892.2,6382.3,2908.3,11516.7,7034.4,4480.2
017907,20140930,9,SBUX,829224,Starbucks Corp.,2068.1,16447.8,6858.8,607.8,10752.9,5479.2,5272
017907,20150930,9,SBUX,829224,Starbucks Corp.,2757.4,19162.7,7787.5,3749.1,12446.1,6626.3,5818
017907,20160930,9,SBUX,829224,Starbucks Corp.,2817.7,21315.9,8511.1,4575.1,14329.5,8438.8,5884
017907,20170930,9,SBUX,829224,Starbucks Corp.,2884.7,22386.8,9038.2,4174.3,14365.6,8908.6,5450.1
