Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
ABT,2024-10-16,1.2,1.21,0.66
ABT,2024-07-18,1.1,1.14,3.24
ABT,2024-04-17,0.95,0.98,2.63
ABT,2024-01-24,1.19,1.19,0.1
ABT,2023-10-18,1.1,1.14,3.85
ABT,2023-07-20,1.05,1.08,2.89
ABT,2023-04-19,0.99,1.03,4.27
ABT,2023-01-25,0.92,1.03,12.23
ABT,2022-10-19,0.94,1.15,21.81
ABT,2022-07-20,1.13,1.43,26.85
ABT,2022-04-20,1.47,1.73,18.08
ABT,2022-01-26,1.21,1.32,9.45
ABT,2021-10-20,0.95,1.4,48.12
ABT,2021-07-22,1.02,1.17,14.97
ABT,2021-04-20,1.27,1.32,3.62
ABT,2021-01-27,1.35,1.45,7.2
ABT,2020-10-21,0.91,0.98,7.95
ABT,2020-07-16,0.42,0.57,34.56
ABT,2020-04-16,0.58,0.65,11.67
ABT,2020-01-22,0.95,0.95,0.42
ABT,2019-10-16,0.84,0.84,-0.17
ABT,2019-07-17,0.8,0.82,2.22
ABT,2019-04-17,0.61,0.63,2.82
ABT,2019-01-23,0.81,0.81,0.02
ABT,2018-10-17,0.75,0.75,0.57
ABT,2018-07-18,0.71,0.73,2.86
ABT,2018-04-18,0.58,0.59,1.7
ABT,2018-01-24,0.73,0.74,1.07
ABT,2017-10-18,0.65,0.66,1.14
ABT,2017-07-20,0.61,0.62,2.48
ABT,2017-04-19,0.43,0.48,11.63
ABT,2017-01-25,0.65,0.65,0.66
ABT,2016-10-19,0.58,0.59,1.49
ABT,2016-07-20,0.53,0.55,3.19
ABT,2016-04-20,0.39,0.41,4.63
ABT,2016-01-28,0.61,0.62,1.67
ABT,2015-10-21,0.53,0.54,1.13
ABT,2015-07-22,0.5,0.52,3.37
ABT,2015-04-22,0.42,0.47,12.52
ABT,2015-01-29,0.68,0.71,3.96
ABT,2014-10-22,0.59,0.62,4.66
ABT,2014-07-16,0.51,0.54,6.68
ABT,2014-04-16,0.36,0.41,15.07
ABT,2014-01-22,0.58,0.58,-0.34
ABT,2013-10-16,0.51,0.55,7.18
ABT,2013-07-17,0.44,0.46,4.22
ABT,2013-04-17,0.41,0.42,2.0
ABT,2013-01-23,1.5,1.51,0.94
ABT,2012-10-17,1.28,1.3,1.38
ABT,2012-07-18,1.22,1.23,1.08
ABT,2012-04-18,1.0,1.03,3.23
ABT,2012-01-25,1.44,1.45,0.97
ABT,2011-10-19,1.17,1.18,0.85
ABT,2011-07-20,1.11,1.12,0.85
ABT,2011-04-20,0.9,0.91,0.74
ABT,2011-01-26,1.29,1.3,0.78
ABT,2010-10-20,1.04,1.05,0.79
ABT,2010-07-21,1.0,1.01,1.32
ABT,2010-04-21,0.8,0.81,1.01
ABT,2010-01-27,1.17,1.18,0.74
ABT,2009-10-14,0.9,0.92,2.63
ABT,2009-07-15,0.89,0.89,0.38
ABT,2009-04-15,0.7,0.73,3.67
ABT,2009-01-21,1.06,1.06,-0.09
ABT,2008-10-15,0.77,0.79,2.03
ABT,2008-07-16,0.79,0.84,6.85
ABT,2008-04-16,0.62,0.63,1.36
ABT,2008-01-23,0.92,0.93,1.26
ABT,2007-10-17,0.66,0.67,1.28
ABT,2007-07-18,0.68,0.69,2.07
ABT,2007-04-18,0.52,0.55,4.93
ABT,2007-01-24,0.74,0.75,0.92
ABT,2006-10-18,0.58,0.58,-0.22
ABT,2006-07-19,0.57,0.62,8.64
ABT,2006-04-19,0.57,0.57,-0.27
ABT,2006-01-25,0.76,0.76,0.3
ABT,2005-10-19,0.58,0.58,0.62
ABT,2005-07-13,0.57,0.58,1.5
ABT,2005-01-18,0.67,0.67,0.32
ABT,2004-10-14,0.53,0.53,0.58
ABT,2004-07-09,0.54,0.54,-0.23
ABT,2004-04-08,0.56,0.57,1.09
ABT,2004-01-16,0.65,0.65,0.19
ABT,2003-10-09,0.53,0.53,-0.33
ABT,2003-07-10,0.52,0.52,0.11
ABT,2003-04-09,0.51,0.51,0.37
ABT,2003-01-16,0.56,0.55,-1.39
ABT,2002-10-09,0.48,0.48,-0.12
ABT,2002-07-11,0.49,0.49,-0.95
ABT,2002-04-09,0.54,0.54,-0.1
ABT,2002-01-16,0.52,0.52,0.97
ABT,2001-10-10,0.44,0.44,-0.11
ABT,2001-07-12,0.45,0.45,0.62
ABT,2001-04-12,0.47,0.47,-0.92
ABT,2001-01-16,0.48,0.48,0.7
