Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
MMM,2024-10-22,1.91,1.98,3.94
MMM,2024-07-26,1.68,1.93,14.66
MMM,2024-04-30,2.1,2.39,13.87
MMM,2024-01-23,2.31,2.42,4.76
MMM,2023-10-24,2.34,2.68,14.4
MMM,2023-07-25,1.72,2.17,26.16
MMM,2023-04-25,1.58,1.97,24.37
MMM,2023-01-24,2.36,2.28,-3.52
MMM,2022-10-25,2.6,2.69,3.44
MMM,2022-07-26,2.42,2.48,2.64
MMM,2022-04-26,2.31,2.65,14.7
MMM,2022-01-25,2.01,2.31,14.84
MMM,2021-10-26,2.2,2.45,11.12
MMM,2021-07-27,2.28,2.59,13.61
MMM,2021-04-27,2.29,2.77,20.78
MMM,2021-01-26,2.15,2.38,10.6
MMM,2020-10-27,2.26,2.43,7.39
MMM,2020-07-28,1.8,1.78,-1.17
MMM,2020-04-28,2.03,2.16,6.31
MMM,2020-01-28,2.1,2.15,2.36
MMM,2019-10-24,2.49,2.58,3.54
MMM,2019-07-25,2.05,2.2,7.12
MMM,2019-04-25,2.49,2.23,-10.41
MMM,2019-01-29,2.28,2.31,1.31
MMM,2018-10-23,2.7,2.58,-4.52
MMM,2018-07-24,2.58,2.59,0.28
MMM,2018-04-24,2.5,2.5,-0.14
MMM,2018-01-25,2.01,2.1,4.54
MMM,2017-10-24,2.21,2.33,5.53
MMM,2017-07-25,2.54,2.25,-11.52
MMM,2017-04-25,2.06,2.16,4.63
MMM,2017-01-24,1.87,1.88,0.43
MMM,2016-10-25,2.14,2.15,0.51
MMM,2016-07-26,2.07,2.08,0.63
MMM,2016-04-26,1.92,2.05,6.57
MMM,2016-01-26,1.63,1.66,2.14
MMM,2015-10-22,2.0,2.05,2.4
MMM,2015-07-23,2.0,2.02,1.22
MMM,2015-04-23,1.92,1.95,1.3
MMM,2015-01-27,1.8,1.81,0.82
MMM,2014-10-23,1.96,1.98,0.82
MMM,2014-07-24,1.91,1.91,0.11
MMM,2014-04-24,1.8,1.79,-0.29
MMM,2014-01-30,1.62,1.62,0.27
MMM,2013-10-24,1.75,1.78,1.47
MMM,2013-07-25,1.7,1.71,0.31
MMM,2013-04-25,1.65,1.61,-2.54
MMM,2013-01-24,1.41,1.41,0.1
MMM,2012-07-26,1.65,1.66,0.44
MMM,2012-04-24,1.49,1.63,9.72
MMM,2012-01-26,1.31,1.35,3.4
MMM,2011-10-25,1.61,1.52,-5.37
MMM,2011-07-26,1.6,1.6,0.27
MMM,2011-04-26,1.44,1.49,3.81
MMM,2011-01-25,1.27,1.28,0.95
MMM,2010-10-28,1.51,1.53,1.09
MMM,2010-07-22,1.48,1.54,4.33
MMM,2010-04-27,1.21,1.4,15.7
MMM,2010-01-28,1.21,1.3,7.31
MMM,2009-10-22,1.17,1.37,16.94
MMM,2009-07-23,0.94,1.2,27.21
MMM,2009-04-24,0.86,0.81,-5.36
MMM,2009-01-29,0.93,0.97,3.85
MMM,2008-10-21,1.38,1.42,3.07
MMM,2008-07-24,1.35,1.39,2.9
MMM,2008-04-24,1.35,1.38,2.22
MMM,2008-01-29,1.17,1.19,1.64
MMM,2007-10-19,1.28,1.29,0.52
MMM,2007-07-26,1.18,1.23,4.1
MMM,2007-04-26,1.12,1.28,14.65
MMM,2007-01-30,1.14,1.1,-3.87
MMM,2006-10-20,1.12,1.17,4.2
MMM,2006-07-25,1.07,1.05,-2.02
MMM,2006-04-21,1.14,1.17,2.29
MMM,2006-01-24,1.03,1.04,0.62
MMM,2005-10-18,1.08,1.1,2.03
MMM,2005-07-18,1.09,1.09,0.13
MMM,2005-04-18,1.01,1.03,1.91
MMM,2005-01-18,0.91,0.91,0.47
MMM,2004-10-18,0.98,0.97,-0.59
MMM,2004-07-19,0.96,0.97,0.74
MMM,2004-04-19,0.87,0.9,3.08
MMM,2004-01-20,0.76,0.77,1.49
MMM,2003-10-20,0.79,0.83,4.53
MMM,2003-07-21,0.75,0.78,3.57
MMM,2003-04-21,0.7,0.71,1.33
MMM,2003-01-21,0.64,0.65,0.78
MMM,2002-10-21,0.69,0.69,0.26
MMM,2002-07-22,0.67,0.68,1.75
MMM,2002-04-22,0.59,0.62,3.68
MMM,2002-01-18,0.49,0.49,0.82
MMM,2001-10-22,0.55,0.55,0.76
MMM,2001-07-23,0.56,0.56,0.49
MMM,2001-01-24,0.6,0.56,-6.8
