gvkey,datadate,lev,roa,btm,retvol,ch_price,std_income,default,ln_mve
000001,9/30/2011,1.195517618,-0.006553663,-4.873068317,0.132943361,-3.31,377.8054742,1,6.899498889
000002,3/31/2002,0.370920914,-0.00281635,2.793757393,0.128595009,-11.9475,853.406728,1,9.901944571
000003,12/31/2007,0.801434248,-0.024217463,1.603266713,0.173299042,-1.89,63.43355807,1,7.077039467
000003,9/30/2008,0.869175808,-0.030391466,5.176930807,0.272681565,-11.05,99.03162427,1,5.406777075
000004,6/30/2009,1.493158725,0.012728807,-2.4522077,0.515909788,-2.44,360.0540461,1,6.326525753
000005,9/30/2003,0.623637805,-0.011597959,1.79656498,0.445429759,-3.3,4.817225562,1,4.18665388
000006,6/30/2009,0.893256006,-0.022321256,2.557829896,0.380317851,-5.53,46.7919185,1,3.214475759
000007,8/31/2008,0.683315687,-0.070343639,3.558040479,0.214934458,-9.08,77.80355182,1,5.712494415
000008,6/30/2002,1.237277122,-0.09501166,-6.544912286,0.320014325,-1.31,11.5200734,1,3.863090081
000009,12/31/2008,0.84497389,-0.225195822,1.39853963,0.250739947,-6.4,78.27771901,1,5.827886233
000010,6/30/2005,0.731182796,0.002882164,1.016758222,0.108724978,-4.59,86.73448595,1,7.72186877
000011,6/30/2005,1.311163675,-0.017717175,-13.04930961,0.277009852,-3.36,659.1477332,1,6.282785042
000012,6/30/2002,1.477577806,-0.041920775,-5.914779987,0.260323509,-10.589,48.56610417,1,4.369624141
000013,9/30/2011,1.323206586,-0.041944336,-7.838501237,0.291791377,-3.4199,284.2119113,1,5.350088797
000014,6/30/2011,0.935520158,-0.10811423,0.405806629,0.164621572,-2.92,98.34087523,1,4.140831441
000015,3/31/2009,0.947019509,-0.02530843,0.686850913,0.355732377,-3.44,22.83142149,1,3.820405619
000016,10/31/2008,0.927836769,-0.101720296,1.173043326,0.255797315,-8.55,20.79181454,1,3.536427331
000017,12/31/2008,1.073815544,-0.027380822,-3.154580979,0.259928011,-4.44,2666.562648,1,8.610241741
000018,3/31/2009,2.100012152,-0.072609066,-76.95336217,0.174991502,-17.11,9920.485548,1,7.076974457
000019,8/31/2010,1.268638642,-0.056174715,-4.770631102,0.206605733,-3.67,187.3028326,1,5.142196748
000020,12/31/2003,0.752002758,-0.036361961,0.862902986,0.14121142,-0.72,7.780517211,1,4.433188983
000021,6/30/2004,0.805652462,-0.007065577,1.295720105,0.080897831,0.79,21.17776435,1,4.703812988
000022,9/30/2008,0.749261745,0.008724832,1.463754281,0.212677461,-6.98,64.12855099,1,7.096599682
000023,6/30/2005,1.248258082,-0.015746934,-9.642573892,0.172088212,-6.56,233.069653,1,5.987039571
000024,9/30/2008,1.015849772,-0.246102162,-0.957548664,0.21934189,-14.74,559.4352206,1,7.015984987
000025,3/31/2007,0.85274432,-0.026725109,0.925170988,0.152833491,-0.05,21.70531001,1,4.708955712
000026,3/31/2009,1.218357789,-0.021635731,-0.851650249,0.736474552,-1.47,71.95783997,1,4.94772936
000027,9/30/2005,0.704453413,-0.014043026,2.233565908,0.155376022,-3.51,27.64852486,1,5.777879913
000028,12/31/2007,0.847774384,-0.04297633,-1.30662904,0.144440289,-3.21,103.1190178,1,5.264435815
000028,3/31/2009,0.931911183,-0.047133887,-19.86086726,0.255097006,-1.37,119.9443787,1,3.273335601
000029,6/30/2004,0.861696268,0.025008312,6.20974602,0.194258823,-0.48,60.0318169,1,2.184625542
000030,12/31/2004,0.836831716,-0.121580886,0.563907984,0.204168544,-5.4,72.98141255,1,6.47213669
000031,9/30/2009,1.068748794,-0.052143506,-0.85136827,0.540911313,-7.51,254.4564481,1,5.57951886
000032,9/30/2002,0.479790908,0.006760512,2.415757906,0.18686396,-12.11,84.08925868,1,7.402975896
000033,9/30/2005,1.542735668,-0.088298428,-1.062800174,0.165442134,-0.66,58.73420151,1,5.344024497
000034,9/30/2012,1.421153536,-0.015159497,-37.71482003,0.478344805,-2.05,26.94027878,1,1.952709836
000035,6/30/2008,0.701847975,-0.012566071,1.192371077,0.193561646,-25.18,48.24224836,1,6.869001394
000036,3/31/2009,1.062268957,0.0309967,-3.961305736,0.181604709,-6.22,74.2641986,1,3.202201172
000037,3/31/2009,0.897168604,-0.040114758,5.113160863,0.599639723,-2.2225,18.88055427,1,2.927905151
000038,9/30/2007,0.853413174,-0.026706587,-0.722455436,0.115142451,-1.59,24.88093753,1,4.368150809
000039,9/30/2004,1.021501014,-0.023123732,-0.089832702,0.165686763,-2.83,792.8700298,1,7.478710413
000040,10/31/2007,0.784569815,-0.076796293,1.514071836,0.161008651,-8.34,12.19791687,1,3.740715451
000041,12/31/2012,0.875492504,-0.007193427,0.982333426,0.18163871,0.79,40.65904771,1,5.602853459
000042,9/30/2006,4.304169355,-0.013353492,-22.73578398,0.2602245,-2.96,24.31357891,1,4.133286871
000043,3/31/2009,0.990075532,-0.010971797,0.838526358,0.225154992,-10.21,437.3189143,1,3.706080907
000044,8/31/2008,0.6068996,0.00113767,3.186722584,0.159714797,-4.18,20.75551883,1,4.376875641
000045,3/31/2009,1.00642967,-0.041125037,-1.537727208,0.309097517,-25.16,297.4188708,1,4.062815195
000046,6/30/2011,0.501253785,-0.009003479,3.398495751,0.232963771,-0.364,105.0640562,1,4.971972079
000047,9/30/2008,0.799531837,-0.06259776,10.64868374,0.238661994,-10.11,68.55915435,1,2.629367679
000048,9/30/2012,1.155134997,-0.07904632,-1.623395825,0.209050418,1.97,50.77619487,1,3.233311133
000049,3/31/2005,0.785072316,-0.027936173,4.678982999,0.180546061,-7.2,22.11030374,1,3.206233041
000050,3/31/2003,0.931991845,-0.211624155,0.819354516,0.420870563,-2.42,45.37659586,1,2.772613722
000051,9/30/2011,0.476220233,-0.165166357,1.304627298,0.162031104,-1.19,19.20696474,1,4.554783428
000052,10/31/2008,0.889187194,-0.005436606,0.727174964,0.217762605,-3.32,79.79448603,1,4.907628968
000053,3/31/2011,0.579418724,-0.256669101,0.274835175,0.119899598,-1.77,8.263437299,1,6.211513555
000054,9/30/2002,0.978423372,-0.094385352,0.315584176,0.493553004,-0.85,155.2336579,1,3.154539523
000055,9/30/2002,0.968142136,-0.295887135,1.218127529,0.30702117,-5.51,64.55886228,1,4.402360248
000056,6/30/2005,1.060300033,-0.202117879,-0.799782246,0.279123091,-4.99,39.68291174,1,3.603832056
000057,12/31/2002,1.621063749,-4.70E-05,-27.50203198,0.529883741,-1.86,27.90938443,1,3.377385789
000058,12/31/2008,1.142348081,-0.024704005,-3.333149128,0.281864794,-3.01,22.4155593,1,2.539000187
000059,6/30/2012,1.550529399,-0.358798617,-4.650088224,0.247617639,-1.72,9.279757843,1,3.512892889
000060,10/31/2004,0.487958287,-0.01976263,3.908128507,0.221664005,-6.12,5.685222166,1,3.763972084
000061,12/31/2003,0.913359798,-0.037797158,0.584145067,0.389943337,-1.38,19.49260578,1,3.368345624
000062,12/31/2007,0.828202934,-0.028851172,1.004332745,0.093044793,-2.14,8.326643884,1,5.26132615
