월(Monthly),구  분,대분류,중분류,소분류,사용검사실적
2010-08,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),33,428
2010-08,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),42,173
2010-08,총계,단독,단독,단독,3,387
2010-08,총계,단독,다가구,동수,1,347
2010-08,총계,단독,다가구,가구수,10,092
2010-08,총계,다세대,다세대,다세대,3,425
2010-08,총계,연립,연립,연립,167
2010-08,총계,아파트,아파트,아파트,25,102
2010-08,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),18,608
2010-08,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),20,519
2010-08,수도권소계,단독,단독,단독,834
2010-08,수도권소계,단독,다가구,동수,427
2010-08,수도권소계,단독,다가구,가구수,2,338
2010-08,수도권소계,다세대,다세대,다세대,3,032
2010-08,수도권소계,연립,연립,연립,119
2010-08,수도권소계,아파트,아파트,아파트,14,196
2010-08,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4,254
2010-08,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),4,490
2010-08,서울,단독,단독,단독,119
2010-08,서울,단독,다가구,동수,56
2010-08,서울,단독,다가구,가구수,292
2010-08,서울,다세대,다세대,다세대,1,480
2010-08,서울,연립,연립,연립,0
2010-08,서울,아파트,아파트,아파트,2,599
2010-08,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),958
2010-08,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,297
2010-08,인천,단독,단독,단독,66
2010-08,인천,단독,다가구,동수,81
2010-08,인천,단독,다가구,가구수,420
2010-08,인천,다세대,다세대,다세대,696
2010-08,인천,연립,연립,연립,80
2010-08,인천,아파트,아파트,아파트,35
2010-08,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),13,396
2010-08,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),14,732
2010-08,경기,단독,단독,단독,649
2010-08,경기,단독,다가구,동수,290
2010-08,경기,단독,다가구,가구수,1,626
2010-08,경기,다세대,다세대,다세대,856
2010-08,경기,연립,연립,연립,39
2010-08,경기,아파트,아파트,아파트,11,562
2010-08,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),14,820
2010-08,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),21,654
2010-08,지방소계,단독,단독,단독,2,553
2010-08,지방소계,단독,다가구,동수,920
2010-08,지방소계,단독,다가구,가구수,7,754
2010-08,지방소계,다세대,다세대,다세대,393
2010-08,지방소계,연립,연립,연립,48
2010-08,지방소계,아파트,아파트,아파트,10,906
2010-08,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),6,396
2010-08,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),8,512
2010-08,기타광역시,단독,단독,단독,218
2010-08,기타광역시,단독,다가구,동수,262
2010-08,기타광역시,단독,다가구,가구수,2,378
2010-08,기타광역시,다세대,다세대,다세대,272
2010-08,기타광역시,연립,연립,연립,16
2010-08,기타광역시,아파트,아파트,아파트,5,628
2010-08,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),378
2010-08,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),725
2010-08,부산,단독,단독,단독,61
2010-08,부산,단독,다가구,동수,45
2010-08,부산,단독,다가구,가구수,392
2010-08,부산,다세대,다세대,다세대,272
2010-08,부산,연립,연립,연립,0
