themeCd,themeNm,stockCd,stockNm,stockInfo
3,LCD 부품/소재,A041520,이라이콤,"LCD용 BLU(휴대폰, 태블릿, 소형가전제품용 등) 생산업체. 삼성전자의 협력업체로 등록되어 있으며, 중소형 BLU업체 중 First Vendor로 휴대폰 및 태블릿PC용 BLU 공급업체중 가장 높은 점유율을 유지중. "
3,LCD 부품/소재,A090740,아이엠이연이,"EMS(전자제품 생산전문기업) 전문업체. SMD(표면실장장치)와 SMT(표면실장기술)를 기반으로 TFT-LCD Monitor & Notebook용 Source PBA, LCD TV용 Control & Source PBA, LED용 PBA, OLED용 PBA를 주로 생산."
3,LCD 부품/소재,A065680,우주일렉트로,모바일 및 디스플레이용 초정밀 커넥터를 생산 및 판매하는 업체.
3,LCD 부품/소재,A062860,티엘아이,LCD 패널의 핵심부품인 Timing Controller와 LCD Driver IC등 시스템반도체 설계 전문 업체. Timing Controller와 LCD Driver IC는 주로 LG디스플레이에 납품.
3,LCD 부품/소재,A149950,아바텍,LCD패널 식각 및 IPS패널 코팅 전문업체. 디스플레이 패널 Glass를 얇게 만드는 식각공정(LCD패널 Slimming)과 식각공정 후 고기능성 ITO코팅(LCD 패널중 Color 필터 상부에 ITO 도전막을 코팅) 수행.
3,LCD 부품/소재,A114810,아이원스,"반도체 및 디스플레이(LCD, OLED) 관련 초정밀 가공/세정 업체."
3,LCD 부품/소재,A250930,예선테크,"기능성 점착소재 제조사업 영위업체. 주요 제품으로는 LCD 및 OLED TV, LCD 모니터 등에 쓰이는 Foam Pad, Gasket Pad, EFR Foam Pad, COF Pad 등."
3,LCD 부품/소재,A105330,케이엔더블유,"디스플레이 및 자동차 부품소재 제조 전문 업체. GLP모듈, 디스플레이용 보호필름(Protect Film), 광학필름 코팅 제품 등을 생산중."
3,LCD 부품/소재,A155650,와이엠씨,"평판디스플레이(FPD) 부품 및 소재 제조업체. FPD(LCD, OLED) 제조공정 중 증착공정의 박막형성 및 FPD Panel 제조공정 중 증착공정에서 필요한 배선재의 재료인 타겟과 관련 부품인 Backing Plate, FPD공정장비 부품을 연구/개발/생산하는 사업 영위."
3,LCD 부품/소재,A123860,아나패스,"비메모리 반도체의 일종인 시스템 반도체 특히, 주문형 반도체(ASIC)를 주력으로 개발, 공급하는 팹리스 업체. 주력제품으로 LCD TV, LED TV 부품인 타이밍콘트롤러(T-con)를 개발/생산."
3,LCD 부품/소재,A027580,상보,"디스플레이용 광학필름(BLU시트) 전문 제조업체. LED/LCD TV, 모니터, 노트북 등에 들어가는 광학필름을 생산/판매."
3,LCD 부품/소재,A036810,에프에스티,반도체 재료/장비 전문업체. LCD용 펠리클(Pellicle) 사업도 영위.
3,LCD 부품/소재,A005290,동진쎄미켐,"감광액과 발포제 생산, 판매업체. 반도체 및 TFT-LCD, PDP 등의 노광공정에 사용되는 감광액(Photoresist) 관련 전자재료사업을 영위."
