YR,PRD_DE,C1_NM,C2_NM,C3_NM,C4_NM,DT
2011,201101,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),22704
2011,201101,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),31369
2011,201101,총계,단독,단독,단독,2520
2011,201101,총계,단독,다가구,동수,1272
2011,201101,총계,단독,다가구,가구수,9937
2011,201101,총계,다세대,다세대,다세대,3043
2011,201101,총계,연립,연립,연립,342
2011,201101,총계,아파트,아파트,아파트,15527
2011,201101,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),12180
2011,201101,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),13672
2011,201101,수도권소계,단독,단독,단독,552
2011,201101,수도권소계,단독,다가구,동수,319
2011,201101,수도권소계,단독,다가구,가구수,1811
2011,201101,수도권소계,다세대,다세대,다세대,2217
2011,201101,수도권소계,연립,연립,연립,131
2011,201101,수도권소계,아파트,아파트,아파트,8961
2011,201101,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),7033
2011,201101,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),7266
2011,201101,서울,단독,단독,단독,94
2011,201101,서울,단독,다가구,동수,45
2011,201101,서울,단독,다가구,가구수,278
2011,201101,서울,다세대,다세대,다세대,999
2011,201101,서울,연립,연립,연립,80
2011,201101,서울,아파트,아파트,아파트,5815
2011,201101,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),585
2011,201101,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),711
2011,201101,인천,단독,단독,단독,45
2011,201101,인천,단독,다가구,동수,31
2011,201101,인천,단독,다가구,가구수,157
2011,201101,인천,다세대,다세대,다세대,443
2011,201101,인천,연립,연립,연립,16
2011,201101,인천,아파트,아파트,아파트,50
2011,201101,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4562
2011,201101,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),5695
2011,201101,경기,단독,단독,단독,413
2011,201101,경기,단독,다가구,동수,243
2011,201101,경기,단독,다가구,가구수,1376
2011,201101,경기,다세대,다세대,다세대,775
2011,201101,경기,연립,연립,연립,35
2011,201101,경기,아파트,아파트,아파트,3096
2011,201101,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),10524
2011,201101,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),17697
2011,201101,지방소계,단독,단독,단독,1968
2011,201101,지방소계,단독,다가구,동수,953
2011,201101,지방소계,단독,다가구,가구수,8126
2011,201101,지방소계,다세대,다세대,다세대,826
2011,201101,지방소계,연립,연립,연립,211
2011,201101,지방소계,아파트,아파트,아파트,6566
2011,201101,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),3945
2011,201101,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),6530
2011,201101,기타광역시,단독,단독,단독,257
2011,201101,기타광역시,단독,다가구,동수,323
2011,201101,기타광역시,단독,다가구,가구수,2908
2011,201101,기타광역시,다세대,다세대,다세대,510
2011,201101,기타광역시,연립,연립,연립,0
2011,201101,기타광역시,아파트,아파트,아파트,2855
2011,201101,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2334
2011,201101,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2749
2011,201101,부산,단독,단독,단독,43
2011,201101,부산,단독,다가구,동수,51
2011,201101,부산,단독,다가구,가구수,466
2011,201101,부산,다세대,다세대,다세대,499
2011,201101,부산,연립,연립,연립,0
2011,201101,부산,아파트,아파트,아파트,1741
2011,201101,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),121
2011,201101,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),633
2011,201101,대구,단독,단독,단독,42
2011,201101,대구,단독,다가구,동수,72
2011,201101,대구,단독,다가구,가구수,584
2011,201101,대구,다세대,다세대,다세대,7
2011,201101,대구,연립,연립,연립,0
2011,201101,대구,아파트,아파트,아파트,0
2011,201101,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),508
2011,201101,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),913
2011,201101,광주,단독,단독,단독,25
2011,201101,광주,단독,다가구,동수,41
2011,201101,광주,단독,다가구,가구수,446
2011,201101,광주,다세대,다세대,다세대,0
2011,201101,광주,연립,연립,연립,0
2011,201101,광주,아파트,아파트,아파트,442
2011,201101,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),195
2011,201101,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),974
2011,201101,대전,단독,단독,단독,108
2011,201101,대전,단독,다가구,동수,87
2011,201101,대전,단독,다가구,가구수,866
2011,201101,대전,다세대,다세대,다세대,0
2011,201101,대전,연립,연립,연립,0
2011,201101,대전,아파트,아파트,아파트,0
2011,201101,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),787
2011,201101,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1261
2011,201101,울산,단독,단독,단독,39
2011,201101,울산,단독,다가구,동수,72
2011,201101,울산,단독,다가구,가구수,546
2011,201101,울산,다세대,다세대,다세대,4
2011,201101,울산,연립,연립,연립,0
2011,201101,울산,아파트,아파트,아파트,672
2011,201101,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),6579
2011,201101,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),11167
2011,201101,기타지방,단독,단독,단독,1711
2011,201101,기타지방,단독,다가구,동수,630
2011,201101,기타지방,단독,다가구,가구수,5218
2011,201101,기타지방,다세대,다세대,다세대,316
2011,201101,기타지방,연립,연립,연립,211
2011,201101,기타지방,아파트,아파트,아파트,3711
2011,201101,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),295
2011,201101,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),464
2011,201101,강원,단독,단독,단독,193
2011,201101,강원,단독,다가구,동수,47
2011,201101,강원,단독,다가구,가구수,216
2011,201101,강원,다세대,다세대,다세대,19
2011,201101,강원,연립,연립,연립,36
2011,201101,강원,아파트,아파트,아파트,0
2011,201101,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1055
2011,201101,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1646
2011,201101,충북,단독,단독,단독,149
2011,201101,충북,단독,다가구,동수,79
2011,201101,충북,단독,다가구,가구수,670
2011,201101,충북,다세대,다세대,다세대,16
2011,201101,충북,연립,연립,연립,0
2011,201101,충북,아파트,아파트,아파트,811
2011,201101,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1888
2011,201101,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2596
2011,201101,충남,단독,단독,단독,247
