월(Monthly),구  분,대분류,중분류,소분류,착공실적
2011-01,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),10,036
2011-01,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),14,400
2011-01,총계,단독,단독,단독,1,761
2011-01,총계,단독,다가구,동수,738
2011-01,총계,단독,다가구,가구수,5,102
2011-01,총계,다세대,다세대,다세대,2,698
2011-01,총계,연립,연립,연립,507
2011-01,총계,아파트,아파트,아파트,4,332
2011-01,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),3,496
2011-01,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3,957
2011-01,수도권소계,단독,단독,단독,440
2011-01,수도권소계,단독,다가구,동수,156
2011-01,수도권소계,단독,다가구,가구수,617
2011-01,수도권소계,다세대,다세대,다세대,1,912
2011-01,수도권소계,연립,연립,연립,371
2011-01,수도권소계,아파트,아파트,아파트,617
2011-01,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,091
2011-01,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,177
2011-01,서울,단독,단독,단독,33
2011-01,서울,단독,다가구,동수,13
2011-01,서울,단독,다가구,가구수,99
2011-01,서울,다세대,다세대,다세대,914
2011-01,서울,연립,연립,연립,28
2011-01,서울,아파트,아파트,아파트,103
2011-01,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),917
2011-01,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),973
2011-01,인천,단독,단독,단독,70
2011-01,인천,단독,다가구,동수,24
2011-01,인천,단독,다가구,가구수,80
2011-01,인천,다세대,다세대,다세대,550
2011-01,인천,연립,연립,연립,74
2011-01,인천,아파트,아파트,아파트,199
2011-01,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,488
2011-01,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,807
2011-01,경기,단독,단독,단독,337
2011-01,경기,단독,다가구,동수,119
2011-01,경기,단독,다가구,가구수,438
2011-01,경기,다세대,다세대,다세대,448
2011-01,경기,연립,연립,연립,269
2011-01,경기,아파트,아파트,아파트,315
2011-01,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),6,540
2011-01,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),10,443
2011-01,지방소계,단독,단독,단독,1,321
2011-01,지방소계,단독,다가구,동수,582
2011-01,지방소계,단독,다가구,가구수,4,485
2011-01,지방소계,다세대,다세대,다세대,786
2011-01,지방소계,연립,연립,연립,136
2011-01,지방소계,아파트,아파트,아파트,3,715
2011-01,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),3,098
2011-01,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),4,360
2011-01,기타광역시,단독,단독,단독,176
2011-01,기타광역시,단독,다가구,동수,176
2011-01,기타광역시,단독,다가구,가구수,1,438
2011-01,기타광역시,다세대,다세대,다세대,609
2011-01,기타광역시,연립,연립,연립,42
2011-01,기타광역시,아파트,아파트,아파트,2,095
